DateTime,TemperatureAboveSurface_degC,LightAboveSurface_units,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,SensorE_DepthFromTop_m,SensorE_Temp_degC,SensorE_Light_Lux,SensorF_DepthFromTop_m,SensorF_Temp_degC,SensorF_Light_Lux,PondMaxDepth_m
6/10/2018 0:01,19.377,0,0,23.1,0,0.5,23.196,0,1,20.234,0,1.5,17.76,0,2,14.9,0,2.5,14.709,0,3
6/10/2018 0:11,19.472,0,0,23.004,0,0.5,23.1,0,1,20.234,0,1.5,17.76,0,2,14.9,0,2.5,14.709,0,3
6/10/2018 0:21,19.377,0,0,22.908,0,0.5,23.004,0,1,20.234,0,1.5,17.76,0,2,14.9,0,2.5,14.709,0,3
6/10/2018 0:31,19.282,0,0,22.908,0,0.5,22.908,0,1,20.329,0,1.5,17.855,0,2,14.804,0,2.5,14.709,0,3
6/10/2018 0:41,19.472,0,0,22.717,0,0.5,22.812,0,1,20.234,0,1.5,17.76,0,2,14.804,0,2.5,14.709,0,3
6/10/2018 0:51,20.043,0,0,22.717,0,0.5,22.717,0,1,20.329,0,1.5,17.855,0,2,14.709,0,2.5,14.613,0,3
6/10/2018 1:01,20.424,0,0,22.717,0,0.5,22.621,0,1,20.234,0,1.5,17.855,0,2,14.804,0,2.5,14.709,0,3
6/10/2018 1:11,20.519,0,0,22.525,0,0.5,22.621,0,1,20.234,0,1.5,17.76,0,2,14.9,0,2.5,14.804,0,3
6/10/2018 1:21,20.234,0,0,22.429,0,0.5,22.525,0,1,20.329,0,1.5,17.855,0,2,14.804,0,2.5,14.709,0,3
6/10/2018 1:31,19.948,0,0,22.429,0,0.5,22.429,0,1,20.424,0,1.5,17.855,0,2,14.709,0,2.5,14.613,0,3
6/10/2018 1:41,19.662,0,0,22.333,0,0.5,22.333,0,1,20.329,0,1.5,17.76,0,2,14.804,0,2.5,14.709,0,3
6/10/2018 1:51,19.472,0,0,22.333,0,0.5,22.238,0,1,20.329,0,1.5,17.855,0,2,14.804,0,2.5,14.709,0,3
6/10/2018 2:01,19.377,0,0,22.142,0,0.5,22.238,0,1,20.234,0,1.5,17.855,0,2,14.9,0,2.5,14.804,0,3
6/10/2018 2:11,19.282,0,0,22.046,0,0.5,22.142,0,1,20.234,0,1.5,17.855,0,2,14.804,0,2.5,14.709,0,3
6/10/2018 2:21,19.092,0,0,22.046,0,0.5,21.951,0,1,20.234,0,1.5,17.855,0,2,14.613,0,2.5,14.517,0,3
6/10/2018 2:31,18.996,0,0,21.951,0,0.5,22.046,0,1,20.329,0,1.5,17.665,0,2,14.613,0,2.5,14.613,0,3
6/10/2018 2:41,18.901,0,0,21.951,0,0.5,21.951,0,1,20.234,0,1.5,17.665,0,2,14.613,0,2.5,14.517,0,3
6/10/2018 2:51,18.806,0,0,21.76,0,0.5,21.855,0,1,20.234,0,1.5,17.76,0,2,14.996,0,2.5,14.804,0,3
6/10/2018 3:01,18.711,0,0,21.76,0,0.5,21.855,0,1,20.138,0,1.5,17.76,0,2,14.9,0,2.5,14.804,0,3
6/10/2018 3:11,18.616,0,0,21.664,0,0.5,21.76,0,1,20.234,0,1.5,17.665,0,2,14.709,0,2.5,14.613,0,3
6/10/2018 3:21,18.711,0,0,21.569,0,0.5,21.664,0,1,20.329,0,1.5,17.665,0,2,14.613,0,2.5,14.613,0,3
6/10/2018 3:31,18.711,0,0,21.569,0,0.5,21.664,0,1,20.329,0,1.5,17.76,0,2,14.613,0,2.5,14.613,0,3
6/10/2018 3:41,18.711,0,0,21.473,0,0.5,21.569,0,1,20.329,0,1.5,17.665,0,2,14.613,0,2.5,14.613,0,3
6/10/2018 3:51,18.711,0,0,21.473,0,0.5,21.473,0,1,20.234,0,1.5,17.665,0,2,14.613,0,2.5,14.613,0,3
6/10/2018 4:01,18.711,0,0,21.378,0,0.5,21.473,0,1,20.234,0,1.5,17.665,0,2,14.613,0,2.5,14.613,0,3
6/10/2018 4:11,18.616,0,0,21.378,0,0.5,21.378,0,1,20.234,0,1.5,17.76,0,2,14.709,0,2.5,14.613,0,3
6/10/2018 4:21,18.711,32.3,0,21.282,0,0.5,21.378,0,1,20.138,0,1.5,17.76,0,2,14.613,0,2.5,14.517,0,3
6/10/2018 4:31,18.806,161.5,0,21.187,0,0.5,21.282,0,1,20.138,0,1.5,17.665,0,2,14.709,0,2.5,14.613,0,3
6/10/2018 4:41,18.711,387.5,0,21.187,0,0.5,21.282,10.8,1,20.234,0,1.5,17.855,0,2,14.613,0,2.5,14.613,0,3
6/10/2018 4:51,18.806,936.5,0,21.091,0,0.5,21.187,43.1,1,20.234,10.8,1.5,17.95,0,2,14.613,0,2.5,14.613,0,3
6/10/2018 5:01,19.092,5338.9,0,21.091,0,0.5,21.091,64.6,1,20.329,21.5,1.5,17.855,0,2,14.709,0,2.5,14.613,0,3
6/10/2018 5:11,19.567,8611.2,0,20.996,0,0.5,21.091,96.9,1,20.329,53.8,1.5,17.95,0,2,14.709,0,2.5,14.613,0,3
6/10/2018 5:21,20.043,12400.1,0,20.996,0,0.5,20.996,129.2,1,20.329,86.1,1.5,17.855,10.8,2,14.804,0,2.5,14.709,0,3
6/10/2018 5:31,20.519,18600.1,0,20.901,0,0.5,20.996,204.5,1,20.329,96.9,1.5,17.76,21.5,2,14.709,0,2.5,14.709,0,3
6/10/2018 5:41,20.996,19977.9,0,20.901,10.8,0.5,20.901,172.2,1,20.329,183,1.5,17.76,32.3,2,14.709,0,2.5,14.613,0,3
6/10/2018 5:51,21.473,22044.6,0,20.805,21.5,0.5,20.901,236.8,1,20.329,247.6,1.5,17.665,43.1,2,14.613,0,2.5,14.613,0,3
6/10/2018 6:01,22.046,26178,0,20.805,43.1,0.5,20.901,269.1,1,20.329,301.4,1.5,17.665,32.3,2,14.709,0,2.5,14.613,21.5,3
6/10/2018 6:11,22.525,33066.9,0,20.805,21.5,0.5,20.805,312.2,1,20.329,366,1.5,17.76,32.3,2,14.517,0,2.5,14.517,10.8,3
6/10/2018 6:21,23.1,37200.2,0,20.71,53.8,0.5,20.805,1302.4,1,20.138,96.9,1.5,17.475,43.1,2,14.613,0,2.5,14.517,43.1,3
6/10/2018 6:31,23.388,33066.9,0,20.71,215.3,0.5,20.805,2927.8,1,20.329,430.6,1.5,17.475,53.8,2,14.709,0,2.5,14.613,10.8,3
6/10/2018 6:41,23.677,37200.2,0,20.71,53.8,0.5,20.805,990.3,1,20.424,129.2,1.5,17.57,75.3,2,14.804,0,2.5,14.709,10.8,3
6/10/2018 6:51,23.869,37200.2,0,20.71,64.6,0.5,20.805,1033.3,1,20.424,139.9,1.5,17.475,107.6,2,14.613,53.8,2.5,14.613,0,3
6/10/2018 7:01,24.351,38578,0,20.71,86.1,0.5,20.805,1280.9,1,20.329,172.2,1.5,17.475,183,2,14.613,32.3,2.5,14.613,10.8,3
6/10/2018 7:11,24.738,39955.8,0,20.71,64.6,0.5,20.805,1151.7,1,20.329,193.8,1.5,17.665,150.7,2,14.613,53.8,2.5,14.517,10.8,3
6/10/2018 7:21,24.931,38578,0,20.71,75.3,0.5,20.805,2411.1,1,20.424,215.3,1.5,17.76,366,2,14.613,43.1,2.5,14.517,10.8,3
6/10/2018 7:31,25.222,38578,0,20.71,75.3,0.5,20.805,1636.1,1,20.519,193.8,1.5,17.57,290.6,2,14.517,43.1,2.5,14.517,21.5,3
6/10/2018 7:41,25.513,37200.2,0,20.71,53.8,0.5,20.805,1636.1,1,20.519,958,1.5,17.665,139.9,2,14.709,172.2,2.5,14.709,53.8,3
6/10/2018 7:51,25.805,35822.5,0,20.71,64.6,0.5,20.805,3100,1,20.519,1550,1.5,17.76,86.1,2,14.709,21.5,2.5,14.613,150.7,3
6/10/2018 8:01,26.195,34444.7,0,20.71,86.1,0.5,20.805,3444.5,1,20.519,3100,1.5,17.855,129.2,2,14.709,21.5,2.5,14.613,107.6,3
6/10/2018 8:11,26.488,34444.7,0,20.71,86.1,0.5,20.901,2755.6,1,20.519,258.3,1.5,17.95,215.3,2,14.9,21.5,2.5,14.804,43.1,3
6/10/2018 8:21,26.879,34444.7,0,20.71,86.1,0.5,20.901,1270.1,1,20.615,2325,1.5,18.045,118.4,2,14.613,43.1,2.5,14.517,118.4,3
6/10/2018 8:31,27.37,34444.7,0,20.901,75.3,0.5,20.901,3788.9,1,20.615,1270.1,1.5,18.045,495.1,2,14.517,43.1,2.5,14.517,118.4,3
6/10/2018 8:41,27.567,34444.7,0,20.901,96.9,0.5,21.091,3616.7,1,20.519,505.9,1.5,18.045,387.5,2,14.613,75.3,2.5,14.517,247.6,3
6/10/2018 8:51,27.665,34444.7,0,20.901,64.6,0.5,21.091,13089,1,20.424,1280.9,1.5,18.14,193.8,2,14.517,32.3,2.5,14.421,215.3,3
6/10/2018 9:01,27.961,34444.7,0,20.901,183,0.5,21.091,9300.1,1,20.71,2669.5,1.5,18.331,247.6,2,14.709,53.8,2.5,14.613,312.2,3
6/10/2018 9:11,28.357,34444.7,0,21.091,86.1,0.5,21.091,8611.2,1,20.71,4305.6,1.5,18.426,183,2,14.9,53.8,2.5,14.804,129.2,3
6/10/2018 9:21,28.655,34444.7,0,21.091,183,0.5,21.187,3616.7,1,20.71,1722.2,1.5,18.331,398.3,2,14.613,366,2.5,14.517,75.3,3
6/10/2018 9:31,28.953,34444.7,0,21.187,193.8,0.5,21.378,3444.5,1,20.329,688.9,1.5,18.236,785.8,2,14.613,183,2.5,14.613,473.6,3
6/10/2018 9:41,28.953,34444.7,0,21.282,204.5,0.5,21.473,13089,1,20.424,818.1,1.5,18.236,592,2,14.613,204.5,2.5,14.613,419.8,3
6/10/2018 9:51,28.953,34444.7,0,21.378,215.3,0.5,21.569,3788.9,1,20.519,1022.6,1.5,18.616,269.1,2,14.996,75.3,2.5,14.9,398.3,3
6/10/2018 10:01,29.452,34444.7,0,21.378,204.5,0.5,21.664,18600.1,1,20.71,2927.8,1.5,18.806,559.7,2,14.804,118.4,2.5,14.709,269.1,3
6/10/2018 10:11,29.752,34444.7,0,21.569,204.5,0.5,21.76,6200,1,20.519,699.7,1.5,18.426,613.5,2,14.804,226,2.5,14.804,516.7,3
6/10/2018 10:21,30.154,34444.7,0,21.664,215.3,0.5,21.855,12400.1,1,20.901,1044.1,1.5,18.426,958,2,14.517,269.1,2.5,14.421,409,3
6/10/2018 10:31,30.255,35822.5,0,21.76,172.2,0.5,22.046,5166.7,1,20.71,3272.2,1.5,18.426,624.3,2,14.996,387.5,2.5,14.996,129.2,3
6/10/2018 10:41,30.558,34444.7,0,21.855,172.2,0.5,22.142,8611.2,1,20.901,1334.7,1.5,18.616,452.1,2,14.804,430.6,2.5,14.804,107.6,3
6/10/2018 10:51,30.76,34444.7,0,21.951,183,0.5,22.333,5338.9,1,20.901,1463.9,1.5,18.426,473.6,2,14.996,441.3,2.5,14.9,215.3,3
6/10/2018 11:01,30.862,34444.7,0,22.046,150.7,0.5,22.333,12400.1,1,20.71,1162.5,1.5,18.426,1108.7,2,14.613,344.4,2.5,14.613,484.4,3
6/10/2018 11:11,31.064,34444.7,0,22.046,161.5,0.5,22.333,2411.1,1,20.805,850.4,1.5,18.616,764.2,2,14.996,419.8,2.5,14.9,150.7,3
6/10/2018 11:21,31.574,35822.5,0,22.142,161.5,0.5,22.429,3788.9,1,20.901,5166.7,1.5,18.426,366,2,14.613,333.7,2.5,14.613,183,3
6/10/2018 11:31,32.086,35822.5,0,22.333,183,0.5,22.525,6200,1,21.282,1636.1,1.5,18.331,527.4,2,14.996,139.9,2.5,14.996,312.2,3
6/10/2018 11:41,32.911,44089.2,0,22.429,172.2,0.5,22.621,5511.1,1,21.282,2755.6,1.5,18.426,818.1,2,14.9,193.8,2.5,14.996,441.3,3
6/10/2018 11:51,33.222,41333.6,0,22.525,183,0.5,22.717,7233.4,1,21.473,2238.9,1.5,18.616,688.9,2,14.804,172.2,2.5,14.613,366,3
6/10/2018 12:01,31.983,41333.6,0,22.621,193.8,0.5,22.812,6544.5,1,21.187,1980.6,1.5,18.426,764.2,2,14.804,150.7,2.5,14.709,430.6,3
6/10/2018 12:11,32.291,46844.8,0,22.717,107.6,0.5,22.908,4305.6,1,21.187,1550,1.5,18.711,721.2,2,14.996,258.3,2.5,14.9,290.6,3
6/10/2018 12:21,30.862,22044.6,0,22.812,150.7,0.5,22.908,3616.7,1,21.378,1722.2,1.5,18.616,312.2,2,14.804,96.9,2.5,14.709,161.5,3
6/10/2018 12:31,31.37,28933.5,0,22.812,107.6,0.5,22.908,3272.2,1,20.996,1808.3,1.5,18.426,462.9,2,15.091,107.6,2.5,14.9,193.8,3
6/10/2018 12:41,35.115,44089.2,0,22.908,193.8,0.5,23.004,5511.1,1,21.187,3100,1.5,18.426,742.7,2,14.709,215.3,2.5,14.613,624.3,3
6/10/2018 12:51,34.058,42711.4,0,23.004,193.8,0.5,23.196,3444.5,1,21.187,4994.5,1.5,18.331,904.2,2,15.091,193.8,2.5,14.996,204.5,3
6/10/2018 13:01,35.864,46844.8,0,23.1,183,0.5,23.388,19289,1,21.282,5511.1,1.5,18.426,1324,2,15.282,236.8,2.5,15.282,495.1,3
6/10/2018 13:11,33.326,33066.9,0,23.196,118.4,0.5,23.388,4994.5,1,21.282,2755.6,1.5,18.426,721.2,2,15.378,161.5,2.5,15.282,269.1,3
6/10/2018 13:21,31.778,22044.6,0,23.196,64.6,0.5,23.388,2755.6,1,21.378,1345.5,1.5,18.711,344.4,2,14.996,86.1,2.5,14.9,129.2,3
6/10/2018 13:31,35.222,30311.3,0,23.292,215.3,0.5,23.581,7577.8,1,21.378,6544.5,1.5,18.616,1184,2,14.804,96.9,2.5,14.709,796.5,3
6/10/2018 13:41,34.691,41333.6,0,23.484,118.4,0.5,23.581,7233.4,1,21.378,1894.5,1.5,18.616,667.4,2,14.9,236.8,2.5,14.804,624.3,3
6/10/2018 13:51,29.053,6200,0,23.484,10.8,0.5,23.581,656.6,1,21.378,355.2,1.5,18.616,64.6,2,14.9,10.8,2.5,14.9,21.5,3
6/10/2018 14:01,25.61,3444.5,0,23.388,0,0.5,23.484,247.6,1,21.187,96.9,1.5,18.236,10.8,2,15.282,0,2.5,15.282,0,3
6/10/2018 14:11,22.142,4822.3,0,23.292,0,0.5,23.388,452.1,1,21.378,204.5,1.5,18.426,43.1,2,14.709,0,2.5,14.709,10.8,3
6/10/2018 14:21,25.222,21355.7,0,23.196,86.1,0.5,23.388,3272.2,1,21.473,1550,1.5,18.331,355.2,2,15.091,118.4,2.5,14.996,172.2,3
6/10/2018 14:31,26.781,20666.8,0,23.388,86.1,0.5,23.581,2927.8,1,21.473,2066.7,1.5,18.616,344.4,2,15.282,86.1,2.5,15.282,150.7,3
6/10/2018 14:41,26.488,49600.3,0,23.484,86.1,0.5,23.581,5511.1,1,21.569,1463.9,1.5,18.426,592,2,14.709,247.6,2.5,14.613,699.7,3
6/10/2018 14:51,27.665,16533.4,0,23.677,53.8,0.5,23.484,2066.7,1,21.664,796.5,1.5,18.426,193.8,2,15.091,53.8,2.5,14.996,86.1,3
6/10/2018 15:01,25.416,16533.4,0,23.388,43.1,0.5,23.484,1636.1,1,21.569,710.4,1.5,18.521,247.6,2,14.804,43.1,2.5,14.613,75.3,3
6/10/2018 15:11,24.738,15844.5,0,23.388,53.8,0.5,23.484,1808.3,1,21.378,764.2,1.5,18.521,183,2,14.9,53.8,2.5,14.9,75.3,3
6/10/2018 15:21,26.879,19977.9,0,23.484,204.5,0.5,23.581,6200,1,21.282,3100,1.5,18.426,269.1,2,14.996,75.3,2.5,14.996,495.1,3
6/10/2018 15:31,30.659,44089.2,0,23.581,247.6,0.5,23.581,6544.5,1,21.76,4650,1.5,18.331,721.2,2,14.996,183,2.5,14.9,527.4,3
6/10/2018 15:41,31.983,26178,0,23.581,247.6,0.5,23.581,13089,1,21.76,3961.1,1.5,18.331,624.3,2,15.091,86.1,2.5,15.091,376.7,3
6/10/2018 15:51,29.152,38578,0,23.484,75.3,0.5,23.677,7577.8,1,21.855,1184,1.5,18.521,958,2,14.996,139.9,2.5,14.9,150.7,3
6/10/2018 16:01,26.977,22044.6,0,23.581,53.8,0.5,23.677,1980.6,1,21.76,925.7,1.5,18.521,430.6,2,14.996,64.6,2.5,14.804,107.6,3
6/10/2018 16:11,27.665,21355.7,0,23.773,107.6,0.5,23.581,7233.4,1,21.569,3444.5,1.5,18.616,484.4,2,15.187,75.3,2.5,15.091,258.3,3
6/10/2018 16:21,25.416,9300.1,0,23.581,75.3,0.5,23.677,1550,1,21.951,688.9,1.5,18.616,129.2,2,14.996,32.3,2.5,14.804,64.6,3
6/10/2018 16:31,22.717,7233.4,0,23.484,21.5,0.5,23.581,968.8,1,21.473,344.4,1.5,18.616,53.8,2,14.804,10.8,2.5,14.709,21.5,3
6/10/2018 16:41,21.569,5338.9,0,23.484,0,0.5,23.581,592,1,21.282,215.3,1.5,18.426,43.1,2,15.091,0,2.5,14.996,10.8,3
6/10/2018 16:51,21.378,9300.1,0,23.581,21.5,0.5,23.581,828.8,1,21.855,419.8,1.5,18.426,129.2,2,15.091,21.5,2.5,14.996,43.1,3
6/10/2018 17:01,23.773,31689.1,0,23.484,53.8,0.5,23.484,2927.8,1,22.046,936.5,1.5,18.426,441.3,2,15.091,107.6,2.5,15.091,96.9,3
6/10/2018 17:11,28.655,39955.8,0,23.388,107.6,0.5,23.484,3100,1,21.855,1377.8,1.5,18.521,602.8,2,14.996,107.6,2.5,14.9,161.5,3
6/10/2018 17:21,25.125,14466.8,0,23.388,43.1,0.5,23.484,1463.9,1,21.664,570.5,1.5,18.426,139.9,2,14.996,32.3,2.5,14.804,53.8,3
6/10/2018 17:31,23.677,8611.2,0,23.484,21.5,0.5,23.581,968.8,1,21.664,376.7,1.5,18.426,86.1,2,15.187,21.5,2.5,15.091,32.3,3
6/10/2018 17:41,23.484,13777.9,0,23.581,43.1,0.5,23.484,1550,1,22.046,635.1,1.5,18.521,172.2,2,14.804,43.1,2.5,14.709,64.6,3
6/10/2018 17:51,24.158,11022.3,0,23.388,21.5,0.5,23.388,1162.5,1,23.004,398.3,1.5,18.426,96.9,2,14.9,21.5,2.5,14.709,32.3,3
6/10/2018 18:01,25.513,15155.7,0,23.292,43.1,0.5,23.484,1636.1,1,22.238,667.4,1.5,18.426,161.5,2,14.996,43.1,2.5,14.804,64.6,3
6/10/2018 18:11,28.853,24800.2,0,23.292,43.1,0.5,23.484,1894.5,1,22.238,882.6,1.5,18.426,226,2,14.996,53.8,2.5,14.9,64.6,3
6/10/2018 18:21,31.166,16533.4,0,23.388,96.9,0.5,23.484,6200,1,22.812,1280.9,1.5,18.426,172.2,2,15.091,53.8,2.5,14.996,129.2,3
6/10/2018 18:31,32.704,37200.2,0,23.484,64.6,0.5,23.484,3100,1,22.525,1291.7,1.5,18.426,333.7,2,15.091,75.3,2.5,14.996,118.4,3
6/10/2018 18:41,28.853,8611.2,0,23.581,21.5,0.5,23.292,979.5,1,22.142,355.2,1.5,18.426,75.3,2,14.9,10.8,2.5,14.804,21.5,3
6/10/2018 18:51,24.835,9644.5,0,23.484,21.5,0.5,23.292,1033.3,1,22.238,387.5,1.5,18.426,96.9,2,14.996,10.8,2.5,14.804,32.3,3
6/10/2018 19:01,23.484,4305.6,0,23.388,0,0.5,23.388,495.1,1,22.429,172.2,1.5,18.426,32.3,2,14.996,0,2.5,14.996,0,3
6/10/2018 19:11,21.76,3616.7,0,23.292,0,0.5,23.388,441.3,1,22.333,161.5,1.5,18.426,32.3,2,14.996,0,2.5,14.9,0,3
6/10/2018 19:21,21.282,2927.8,0,23.292,0,0.5,23.388,322.9,1,22.621,107.6,1.5,18.331,21.5,2,15.187,0,2.5,14.996,0,3
6/10/2018 19:31,20.996,2583.4,0,23.292,0,0.5,23.292,269.1,1,22.333,86.1,1.5,18.331,10.8,2,14.996,0,2.5,14.9,0,3
6/10/2018 19:41,20.71,2325,0,23.196,0,0.5,23.196,269.1,1,22.238,86.1,1.5,18.426,10.8,2,14.9,0,2.5,14.804,0,3
6/10/2018 19:51,20.424,1808.3,0,23.196,0,0.5,23.196,193.8,1,22.238,64.6,1.5,18.426,0,2,14.996,0,2.5,14.9,0,3
6/10/2018 20:01,20.043,1636.1,0,23.196,0,0.5,23.292,161.5,1,22.333,53.8,1.5,18.426,0,2,15.091,0,2.5,14.996,0,3
6/10/2018 20:11,19.948,1808.3,0,23.196,0,0.5,23.196,204.5,1,22.238,64.6,1.5,18.426,10.8,2,14.996,0,2.5,14.9,0,3
6/10/2018 20:21,20.234,2238.9,0,23.1,0,0.5,23.196,247.6,1,22.429,75.3,1.5,18.331,10.8,2,14.996,0,2.5,14.9,0,3
6/10/2018 20:31,20.138,2755.6,0,23.004,0,0.5,23.1,355.2,1,22.717,107.6,1.5,18.331,10.8,2,14.996,0,2.5,14.9,0,3
6/10/2018 20:41,19.758,1894.5,0,22.908,0,0.5,23.004,236.8,1,22.908,75.3,1.5,18.331,10.8,2,15.091,0,2.5,15.091,0,3
6/10/2018 20:51,19.282,839.6,0,23.004,0,0.5,23.004,75.3,1,22.621,10.8,1.5,18.331,0,2,14.996,0,2.5,14.9,0,3
6/10/2018 21:01,18.806,581.3,0,22.812,0,0.5,22.908,43.1,1,22.525,0,1.5,18.331,0,2,14.9,0,2.5,14.804,0,3
6/10/2018 21:11,18.426,344.4,0,22.812,0,0.5,22.908,21.5,1,22.046,0,1.5,18.331,0,2,14.996,0,2.5,14.9,0,3
6/10/2018 21:21,17.855,21.5,0,22.621,0,0.5,22.717,0,1,22.238,0,1.5,18.426,0,2,14.9,0,2.5,14.804,0,3
6/10/2018 21:31,17.284,0,0,22.525,0,0.5,22.717,0,1,22.142,0,1.5,18.426,0,2,14.996,0,2.5,14.9,0,3
6/10/2018 21:41,17.189,0,0,22.525,0,0.5,22.621,0,1,22.046,0,1.5,18.426,0,2,14.996,0,2.5,14.996,0,3
6/10/2018 21:51,16.903,0,0,22.429,0,0.5,22.525,0,1,22.142,0,1.5,18.331,0,2,15.091,0,2.5,14.996,0,3
6/10/2018 22:01,16.618,0,0,22.429,0,0.5,22.525,0,1,21.951,0,1.5,18.236,0,2,14.996,0,2.5,14.9,0,3
6/10/2018 22:11,16.237,0,0,22.333,0,0.5,22.429,0,1,21.855,0,1.5,18.331,0,2,14.996,0,2.5,14.9,0,3
6/10/2018 22:21,16.332,0,0,22.238,0,0.5,22.429,0,1,21.855,0,1.5,18.331,0,2,14.9,0,2.5,14.804,0,3
6/10/2018 22:31,16.046,0,0,22.238,0,0.5,22.333,0,1,21.569,0,1.5,18.331,0,2,15.091,0,2.5,14.996,0,3
6/10/2018 22:41,16.046,0,0,22.142,0,0.5,22.238,0,1,21.569,0,1.5,18.426,0,2,14.996,0,2.5,14.9,0,3
6/10/2018 22:51,15.951,0,0,22.046,0,0.5,22.142,0,1,21.855,0,1.5,18.331,0,2,14.996,0,2.5,14.9,0,3
6/10/2018 23:01,15.76,0,0,22.046,0,0.5,22.142,0,1,21.76,0,1.5,18.331,0,2,15.091,0,2.5,14.996,0,3
6/10/2018 23:11,15.855,0,0,21.951,0,0.5,22.046,0,1,21.569,0,1.5,18.426,0,2,14.9,0,2.5,14.9,0,3
6/10/2018 23:21,15.664,0,0,21.855,0,0.5,21.951,0,1,21.473,0,1.5,18.331,0,2,14.996,0,2.5,14.9,0,3
6/10/2018 23:31,15.569,0,0,21.76,0,0.5,21.855,0,1,21.378,0,1.5,18.331,0,2,14.996,0,2.5,14.996,0,3
6/10/2018 23:41,15.473,0,0,21.664,0,0.5,21.855,0,1,21.187,0,1.5,18.426,0,2,14.996,0,2.5,14.996,0,3
6/10/2018 23:51,15.282,0,0,21.664,0,0.5,21.76,0,1,21.187,0,1.5,18.331,0,2,14.996,0,2.5,14.804,0,3
6/11/2018 0:01,14.9,0,0,21.569,0,0.5,21.76,0,1,21.187,0,1.5,18.236,0,2,14.996,0,2.5,14.804,0,3
6/11/2018 0:11,14.9,0,0,21.569,0,0.5,21.664,0,1,21.187,0,1.5,18.331,0,2,14.9,0,2.5,14.804,0,3
6/11/2018 0:21,14.613,0,0,21.473,0,0.5,21.569,0,1,21.187,0,1.5,18.331,0,2,14.996,0,2.5,14.9,0,3
6/11/2018 0:31,14.038,0,0,21.473,0,0.5,21.569,0,1,21.091,0,1.5,18.236,0,2,15.091,0,2.5,14.996,0,3
6/11/2018 0:41,13.558,0,0,21.378,0,0.5,21.569,0,1,21.091,0,1.5,18.331,0,2,14.996,0,2.5,14.9,0,3
6/11/2018 0:51,13.269,0,0,21.378,0,0.5,21.473,0,1,21.091,0,1.5,18.331,0,2,14.996,0,2.5,14.9,0,3
6/11/2018 1:01,13.558,0,0,21.378,0,0.5,21.473,0,1,20.996,0,1.5,18.331,0,2,14.996,0,2.5,14.804,0,3
6/11/2018 1:11,14.134,0,0,21.282,0,0.5,21.378,0,1,20.996,0,1.5,18.521,0,2,14.996,0,2.5,14.9,0,3
6/11/2018 1:21,14.9,0,0,21.187,0,0.5,21.378,0,1,20.996,0,1.5,18.521,0,2,14.996,0,2.5,14.9,0,3
6/11/2018 1:31,14.996,0,0,21.091,0,0.5,21.282,0,1,20.901,0,1.5,18.521,0,2,14.996,0,2.5,14.996,0,3
6/11/2018 1:41,14.9,0,0,21.091,0,0.5,21.187,0,1,21.091,0,1.5,18.521,0,2,14.996,0,2.5,14.9,0,3
6/11/2018 1:51,14.613,0,0,20.996,0,0.5,21.091,0,1,21.091,0,1.5,18.521,0,2,14.804,0,2.5,14.709,0,3
6/11/2018 2:01,14.421,0,0,20.901,0,0.5,20.996,0,1,20.901,0,1.5,18.521,0,2,14.996,0,2.5,14.996,0,3
6/11/2018 2:11,14.23,0,0,20.805,0,0.5,20.901,0,1,20.901,0,1.5,18.521,0,2,14.996,0,2.5,14.9,0,3
6/11/2018 2:21,14.038,0,0,20.71,0,0.5,20.805,0,1,20.805,0,1.5,18.521,0,2,14.996,0,2.5,14.804,0,3
