DateTime,TemperatureAboveSurface_degC,LightAboveSurface_units,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,SensorE_DepthFromTop_m,SensorE_Temp_degC,SensorE_Light_Lux,PondMaxDepth_m
6/10/2018 0:01,18.901,0,0,21.664,0,1,17.094,0,1.5,15.951,0,2,14.613,0,2.5,12.207,0.0,3.5
6/10/2018 0:11,18.711,0,0,21.569,0,1,16.999,0,1.5,15.855,0,2,14.517,0,2.5,11.819,0.0,3.5
6/10/2018 0:21,18.616,0,0,21.569,0,1,17.094,0,1.5,15.951,0,2,14.709,0,2.5,11.722,0.0,3.5
6/10/2018 0:31,18.711,0,0,21.473,0,1,17.094,0,1.5,15.951,0,2,14.613,0,2.5,11.819,0.0,3.5
6/10/2018 0:41,19.092,0,0,21.378,0,1,17.094,0,1.5,15.951,0,2,14.709,0,2.5,11.916,0.0,3.5
6/10/2018 0:51,19.472,0,0,21.282,0,1,16.999,0,1.5,15.855,0,2,14.421,0,2.5,11.819,0.0,3.5
6/10/2018 1:01,19.948,0,0,21.187,0,1,16.999,0,1.5,15.951,0,2,14.709,0,2.5,12.207,0.0,3.5
6/10/2018 1:11,20.043,0,0,21.091,0,1,16.903,0,1.5,15.951,0,2,14.325,0,2.5,11.819,0.0,3.5
6/10/2018 1:21,19.758,0,0,20.996,0,1,16.999,0,1.5,15.951,0,2,14.517,0,2.5,12.013,0.0,3.5
6/10/2018 1:31,19.567,0,0,20.901,0,1,16.903,0,1.5,15.951,0,2,14.613,0,2.5,12.013,0.0,3.5
6/10/2018 1:41,19.282,0,0,20.805,0,1,16.999,0,1.5,16.046,0,2,14.517,0,2.5,11.916,0.0,3.5
6/10/2018 1:51,19.092,0,0,20.805,0,1,17.094,0,1.5,16.046,0,2,14.325,0,2.5,11.819,0.0,3.5
6/10/2018 2:01,18.901,0,0,20.71,0,1,16.999,0,1.5,15.951,0,2,14.421,0,2.5,12.013,0.0,3.5
6/10/2018 2:11,18.806,0,0,20.615,0,1,16.999,0,1.5,15.855,0,2,14.421,0,2.5,12.11,0.0,3.5
6/10/2018 2:21,18.711,0,0,20.615,0,1,17.094,0,1.5,15.951,0,2,14.613,0,2.5,11.916,0.0,3.5
6/10/2018 2:31,18.616,0,0,20.519,0,1,16.999,0,1.5,15.855,0,2,14.613,0,2.5,11.722,0.0,3.5
6/10/2018 2:41,18.521,0,0,20.519,0,1,16.999,0,1.5,15.951,0,2,14.804,0,2.5,11.916,0.0,3.5
6/10/2018 2:51,18.426,0,0,20.424,0,1,16.999,0,1.5,15.951,0,2,14.517,0,2.5,11.722,0.0,3.5
6/10/2018 3:01,18.331,0,0,20.329,0,1,16.999,0,1.5,15.951,0,2,14.613,0,2.5,11.819,0.0,3.5
6/10/2018 3:11,18.331,0,0,20.329,0,1,16.903,0,1.5,15.855,0,2,14.517,0,2.5,12.11,0.0,3.5
6/10/2018 3:21,18.331,0,0,20.234,0,1,16.999,0,1.5,15.951,0,2,14.517,0,2.5,12.11,0.0,3.5
6/10/2018 3:31,18.426,0,0,20.138,0,1,17.094,0,1.5,15.951,0,2,14.23,0,2.5,11.819,0.0,3.5
6/10/2018 3:41,18.426,0,0,20.138,0,1,16.999,0,1.5,15.951,0,2,14.421,0,2.5,12.11,0.0,3.5
6/10/2018 3:51,18.426,0,0,20.043,0,1,16.903,0,1.5,15.951,0,2,14.517,0,2.5,12.304,0.0,3.5
6/10/2018 4:01,18.331,0,0,19.948,0,1,16.903,0,1.5,15.951,0,2,14.421,0,2.5,11.916,0.0,3.5
6/10/2018 4:11,18.331,0,0,19.948,0,1,17.284,0,1.5,16.046,0,2,14.421,0,2.5,11.819,0.0,3.5
6/10/2018 4:21,18.426,43.1,0,19.853,0,1,17.094,0,1.5,15.951,0,2,14.613,0,2.5,11.916,0.0,3.5
6/10/2018 4:31,18.426,183,0,19.853,0,1,16.903,0,1.5,15.951,0,2,14.613,0,2.5,11.819,0.0,3.5
6/10/2018 4:41,18.521,430.6,0,19.758,0,1,17.189,0,1.5,16.141,0,2,14.613,0,2.5,11.819,0.0,3.5
6/10/2018 4:51,18.521,861.1,0,19.662,0,1,17.284,0,1.5,16.237,0,2,14.804,0,2.5,11.722,0.0,3.5
6/10/2018 5:01,18.711,1463.9,0,19.567,0,1,17.284,0,1.5,16.141,0,2,14.613,0,2.5,12.013,0.0,3.5
6/10/2018 5:11,18.806,2066.7,0,19.567,0,1,17.665,0,1.5,16.046,0,2,14.613,0,2.5,11.916,0.0,3.5
6/10/2018 5:21,18.901,2669.5,0,19.472,0,1,18.14,0,1.5,16.046,0,2,14.613,0,2.5,12.11,0.0,3.5
6/10/2018 5:31,18.996,3100,0,19.377,0,1,18.236,0,1.5,16.141,0,2,14.517,0,2.5,11.916,0.0,3.5
6/10/2018 5:41,19.282,3616.7,0,19.377,10.8,1,18.711,10.8,1.5,16.141,0,2,14.804,0,2.5,12.11,0.0,3.5
6/10/2018 5:51,20.519,15155.7,0,19.282,10.8,1,19.282,21.5,1.5,16.141,0,2,14.804,0,2.5,11.916,0.0,3.5
6/10/2018 6:01,21.855,18600.1,0,19.282,21.5,1,19.282,43.1,1.5,16.046,0,2,14.613,0,2.5,11.916,0.0,3.5
6/10/2018 6:11,22.525,20666.8,0,19.187,21.5,1,18.711,53.8,1.5,16.141,0,2,14.709,0,2.5,12.11,0.0,3.5
6/10/2018 6:21,23.004,22044.6,0,19.187,32.3,1,19.187,64.6,1.5,16.141,0,2,14.709,0,2.5,12.11,0.0,3.5
6/10/2018 6:31,23.581,24800.2,0,19.092,53.8,1,19.187,75.3,1.5,16.332,0,2,14.325,0,2.5,11.722,0.0,3.5
6/10/2018 6:41,23.966,26178,0,19.092,43.1,1,19.187,96.9,1.5,16.141,10.8,2,14.517,0,2.5,12.11,0.0,3.5
6/10/2018 6:51,24.351,27555.7,0,19.092,53.8,1,19.187,96.9,1.5,16.046,10.8,2,14.613,0,2.5,12.304,0.0,3.5
6/10/2018 7:01,24.738,27555.7,0,19.092,75.3,1,19.187,118.4,1.5,16.141,21.5,2,14.709,0,2.5,12.013,0.0,3.5
6/10/2018 7:11,25.416,28933.5,0,19.092,75.3,1,19.187,129.2,1.5,16.141,21.5,2,14.517,0,2.5,11.431,0.0,3.5
6/10/2018 7:21,25.708,30311.3,0,19.092,86.1,1,19.187,172.2,1.5,16.141,32.3,2,14.9,0,2.5,12.013,0.0,3.5
6/10/2018 7:31,26.195,30311.3,0,19.092,86.1,1,19.187,172.2,1.5,16.141,32.3,2,14.804,0,2.5,12.013,0.0,3.5
6/10/2018 7:41,26.39,33066.9,0,19.092,96.9,1,19.092,215.3,1.5,16.237,43.1,2,14.804,0,2.5,11.916,0.0,3.5
6/10/2018 7:51,27.173,33066.9,0,19.092,96.9,1,19.092,236.8,1.5,16.332,53.8,2,14.23,0,2.5,11.722,0.0,3.5
6/10/2018 8:01,27.468,34444.7,0,19.092,118.4,1,19.187,226,1.5,16.332,53.8,2,14.804,0,2.5,12.401,0.0,3.5
6/10/2018 8:11,28.06,34444.7,0,19.092,107.6,1,19.187,258.3,1.5,16.237,64.6,2,14.709,0,2.5,12.013,0.0,3.5
6/10/2018 8:21,28.258,35822.5,0,19.092,118.4,1,19.187,247.6,1.5,16.427,64.6,2,14.613,0,2.5,12.11,0.0,3.5
6/10/2018 8:31,28.754,35822.5,0,19.092,150.7,1,19.187,290.6,1.5,16.427,75.3,2,14.517,0,2.5,11.625,0.0,3.5
6/10/2018 8:41,29.252,37200.2,0,19.187,129.2,1,19.187,312.2,1.5,16.427,86.1,2,14.709,10.8,2.5,12.207,0.0,3.5
6/10/2018 8:51,29.352,37200.2,0,19.187,139.9,1,19.282,355.2,1.5,16.332,86.1,2,14.709,10.8,2.5,12.207,0.0,3.5
6/10/2018 9:01,29.552,37200.2,0,19.187,161.5,1,19.282,366,1.5,16.523,96.9,2,14.517,10.8,2.5,11.722,0.0,3.5
6/10/2018 9:11,29.953,37200.2,0,19.282,172.2,1,19.282,409,1.5,16.523,107.6,2,14.613,10.8,2.5,11.819,0.0,3.5
6/10/2018 9:21,30.054,38578,0,19.282,183,1,19.377,419.8,1.5,16.808,118.4,2,14.996,21.5,2.5,12.207,0.0,3.5
6/10/2018 9:31,30.255,38578,0,19.377,172.2,1,19.472,387.5,1.5,16.427,118.4,2,14.421,21.5,2.5,11.916,0.0,3.5
6/10/2018 9:41,30.255,38578,0,19.377,226,1,19.472,452.1,1.5,16.903,118.4,2,14.996,21.5,2.5,12.11,0.0,3.5
6/10/2018 9:51,30.154,39955.8,0,19.377,193.8,1,19.472,452.1,1.5,17.475,129.2,2,14.421,21.5,2.5,11.722,0.0,3.5
6/10/2018 10:01,30.457,39955.8,0,19.567,215.3,1,19.567,516.7,1.5,16.713,150.7,2,14.517,21.5,2.5,12.013,0.0,3.5
6/10/2018 10:11,30.457,41333.6,0,19.472,226,1,19.662,462.9,1.5,17.475,139.9,2,14.709,21.5,2.5,12.401,0.0,3.5
6/10/2018 10:21,30.558,39955.8,0,19.567,226,1,19.567,516.7,1.5,16.999,150.7,2,14.421,21.5,2.5,11.819,0.0,3.5
6/10/2018 10:31,30.659,39955.8,0,19.567,236.8,1,19.662,505.9,1.5,18.426,150.7,2,14.9,21.5,2.5,11.722,0.0,3.5
6/10/2018 10:41,30.963,38578,0,19.758,204.5,1,19.758,581.3,1.5,17.379,172.2,2,14.325,32.3,2.5,12.11,0.0,3.5
6/10/2018 10:51,30.862,38578,0,19.758,247.6,1,19.758,645.8,1.5,19.092,183,2,15.091,32.3,2.5,12.401,0.0,3.5
6/10/2018 11:01,30.862,38578,0,19.853,269.1,1,19.853,570.5,1.5,19.377,172.2,2,14.421,32.3,2.5,11.916,0.0,3.5
6/10/2018 11:11,30.862,38578,0,19.948,269.1,1,19.948,645.8,1.5,19.092,183,2,14.613,43.1,2.5,11.625,0.0,3.5
6/10/2018 11:21,30.558,38578,0,20.043,269.1,1,19.948,656.6,1.5,19.662,183,2,14.804,32.3,2.5,12.207,0.0,3.5
6/10/2018 11:31,30.76,39955.8,0,20.043,290.6,1,20.043,667.4,1.5,19.377,215.3,2,14.517,43.1,2.5,12.304,0.0,3.5
6/10/2018 11:41,31.064,49600.3,0,20.138,355.2,1,20.138,742.7,1.5,19.662,226,2,14.804,43.1,2.5,11.916,0.0,3.5
6/10/2018 11:51,30.963,49600.3,0,20.138,322.9,1,20.138,699.7,1.5,19.567,236.8,2,14.325,43.1,2.5,11.722,0.0,3.5
6/10/2018 12:01,29.752,49600.3,0,20.234,355.2,1,20.138,775,1.5,19.092,226,2,14.517,43.1,2.5,12.304,0.0,3.5
6/10/2018 12:11,29.452,63378.2,0,20.329,409,1,20.234,667.4,1.5,19.377,301.4,2,15.091,21.5,2.5,12.207,0.0,3.5
6/10/2018 12:21,28.655,37200.2,0,20.329,193.8,1,20.234,258.3,1.5,19.853,64.6,2,14.804,0,2.5,11.819,0.0,3.5
6/10/2018 12:31,28.555,39955.8,0,20.234,183,1,20.234,333.7,1.5,19.662,75.3,2,14.421,0,2.5,11.819,0.0,3.5
6/10/2018 12:41,30.356,57867,0,20.424,452.1,1,20.424,871.9,1.5,18.901,279.9,2,14.996,10.8,2.5,12.304,0.0,3.5
6/10/2018 12:51,31.472,52355.9,0,20.424,419.8,1,20.329,796.5,1.5,19.948,279.9,2,14.613,53.8,2.5,12.013,0.0,3.5
6/10/2018 13:01,31.37,57867,0,20.519,452.1,1,20.424,807.3,1.5,20.043,269.1,2,14.709,53.8,2.5,12.304,0.0,3.5
6/10/2018 13:11,29.652,38578,0,20.519,183,1,20.519,376.7,1.5,19.187,86.1,2,14.709,0,2.5,12.013,0.0,3.5
6/10/2018 13:21,29.352,37200.2,0,20.519,161.5,1,20.519,312.2,1.5,19.377,64.6,2,14.804,0,2.5,12.013,0.0,3.5
6/10/2018 13:31,30.558,46844.8,0,20.615,441.3,1,20.519,871.9,1.5,19.282,161.5,2,14.421,10.8,2.5,12.11,0.0,3.5
6/10/2018 13:41,30.76,46844.8,0,20.71,333.7,1,20.71,398.3,1.5,19.187,118.4,2,14.613,10.8,2.5,12.401,0.0,3.5
6/10/2018 13:51,27.862,13777.9,0,20.71,43.1,1,20.71,129.2,1.5,19.377,21.5,2,14.9,0,2.5,12.304,0.0,3.5
6/10/2018 14:01,24.641,4822.3,0,20.71,0,1,20.615,10.8,1.5,19.187,0,2,14.325,0,2.5,11.819,0.0,3.5
6/10/2018 14:11,21.664,5511.1,0,20.996,10.8,1,20.234,21.5,1.5,18.711,0,2,15.187,0,2.5,12.11,0.0,3.5
6/10/2018 14:21,24.448,52355.9,0,20.71,193.8,1,19.948,527.4,1.5,19.187,150.7,2,15.378,75.3,2.5,12.497,0.0,3.5
6/10/2018 14:31,26.097,41333.6,0,20.519,150.7,1,20.043,366,1.5,19.567,96.9,2,14.709,10.8,2.5,11.528,0.0,3.5
6/10/2018 14:41,23.581,33066.9,0,20.424,107.6,1,20.043,269.1,1.5,19.758,64.6,2,14.23,0,2.5,11.722,0.0,3.5
6/10/2018 14:51,26.39,30311.3,0,20.519,118.4,1,20.138,301.4,1.5,19.662,64.6,2,14.613,0,2.5,13.269,0.0,3.5
6/10/2018 15:01,24.158,20666.8,0,20.519,64.6,1,20.138,129.2,1.5,19.377,21.5,2,14.9,0,2.5,12.69,0.0,3.5
6/10/2018 15:11,23.484,26178,0,20.519,96.9,1,20.138,215.3,1.5,19.282,53.8,2,14.804,0,2.5,11.722,0.0,3.5
6/10/2018 15:21,23.677,30311.3,0,20.615,86.1,1,20.234,193.8,1.5,19.377,43.1,2,15.664,0,2.5,11.625,0.0,3.5
6/10/2018 15:31,25.222,49600.3,0,20.615,172.2,1,20.234,430.6,1.5,19.377,118.4,2,14.9,10.8,2.5,12.013,0.0,3.5
6/10/2018 15:41,28.357,74400.5,0,20.71,193.8,1,20.234,624.3,1.5,18.901,172.2,2,15.187,21.5,2.5,12.497,0.0,3.5
6/10/2018 15:51,25.708,33066.9,0,20.71,96.9,1,20.234,236.8,1.5,19.377,64.6,2,14.804,0,2.5,12.207,0.0,3.5
6/10/2018 16:01,24.158,28933.5,0,20.615,86.1,1,20.234,215.3,1.5,19.472,53.8,2,14.613,0,2.5,11.916,0.0,3.5
6/10/2018 16:11,24.351,55111.5,0,20.615,129.2,1,20.234,301.4,1.5,19.377,118.4,2,15.187,0,2.5,11.916,0.0,3.5
6/10/2018 16:21,24.545,85422.8,0,20.71,183,1,20.234,505.9,1.5,19.282,172.2,2,14.996,21.5,2.5,12.11,0.0,3.5
6/10/2018 16:31,22.238,16533.4,0,20.615,53.8,1,20.138,150.7,1.5,19.282,32.3,2,14.9,0,2.5,12.013,0.0,3.5
6/10/2018 16:41,21.091,9300.1,0,20.615,21.5,1,20.329,53.8,1.5,19.472,0,2,15.282,0,2.5,12.304,0.0,3.5
6/10/2018 16:51,20.996,10333.4,0,20.615,21.5,1,20.234,53.8,1.5,19.377,0,2,14.709,0,2.5,11.916,0.0,3.5
6/10/2018 17:01,21.951,21355.7,0,20.615,53.8,1,20.234,118.4,1.5,19.187,21.5,2,15.282,0,2.5,12.304,0.0,3.5
6/10/2018 17:11,25.222,46844.8,0,20.71,139.9,1,20.329,301.4,1.5,19.187,86.1,2,15.664,10.8,2.5,12.013,0.0,3.5
6/10/2018 17:21,23.869,24800.2,0,20.615,86.1,1,20.138,204.5,1.5,19.377,53.8,2,14.9,0,2.5,11.916,0.0,3.5
6/10/2018 17:31,22.621,15155.7,0,20.615,53.8,1,20.329,107.6,1.5,19.282,21.5,2,15.187,0,2.5,12.304,0.0,3.5
6/10/2018 17:41,22.525,23422.4,0,20.615,75.3,1,20.329,183,1.5,19.377,53.8,2,15.473,0,2.5,12.207,0.0,3.5
6/10/2018 17:51,23.677,19289,0,20.615,64.6,1,20.329,129.2,1.5,19.377,32.3,2,15.187,0,2.5,12.013,0.0,3.5
6/10/2018 18:01,23.869,28933.5,0,20.615,96.9,1,20.234,193.8,1.5,19.377,53.8,2,15.378,0,2.5,12.207,0.0,3.5
6/10/2018 18:11,26.683,82667.2,0,20.71,204.5,1,20.138,269.1,1.5,19.092,96.9,2,15.569,10.8,2.5,12.207,0.0,3.5
6/10/2018 18:21,27.862,93689.5,0,20.71,193.8,1,20.138,344.4,1.5,18.996,118.4,2,15.951,10.8,2.5,12.207,0.0,3.5
6/10/2018 18:31,27.665,85422.8,0,20.71,204.5,1,20.329,258.3,1.5,19.282,96.9,2,15.664,0,2.5,12.013,0.0,3.5
6/10/2018 18:41,25.222,18600.1,0,20.71,43.1,1,20.519,129.2,1.5,19.472,21.5,2,15.378,0,2.5,11.916,0.0,3.5
6/10/2018 18:51,22.812,18600.1,0,20.71,43.1,1,20.424,96.9,1.5,19.377,21.5,2,15.282,0,2.5,12.11,0.0,3.5
6/10/2018 19:01,22.142,8266.7,0,20.71,10.8,1,20.329,32.3,1.5,19.282,0,2,15.473,0,2.5,12.594,0.0,3.5
6/10/2018 19:11,21.282,6200,0,20.71,10.8,1,20.329,32.3,1.5,19.092,0,2,15.569,0,2.5,12.207,0.0,3.5
6/10/2018 19:21,20.805,5338.9,0,20.71,0,1,20.329,21.5,1.5,18.996,0,2,16.141,0,2.5,11.819,0.0,3.5
6/10/2018 19:31,20.519,4994.5,0,20.615,0,1,20.329,10.8,1.5,19.092,0,2,16.141,0,2.5,11.722,0.0,3.5
6/10/2018 19:41,20.234,4822.3,0,20.615,0,1,20.329,21.5,1.5,19.282,0,2,15.76,0,2.5,12.304,0.0,3.5
6/10/2018 19:51,19.948,3788.9,0,20.615,0,1,20.424,10.8,1.5,19.282,0,2,15.473,0,2.5,12.497,0.0,3.5
6/10/2018 20:01,19.472,3100,0,20.615,0,1,20.424,0,1.5,19.377,0,2,15.091,0,2.5,12.304,0.0,3.5
6/10/2018 20:11,19.567,3616.7,0,20.615,0,1,20.329,10.8,1.5,19.282,0,2,15.473,0,2.5,12.11,0.0,3.5
6/10/2018 20:21,20.424,8266.7,0,20.519,0,1,20.329,10.8,1.5,19.092,0,2,15.76,0,2.5,11.819,0.0,3.5
6/10/2018 20:31,20.138,5511.1,0,20.424,0,1,20.138,32.3,1.5,19.092,0,2,16.427,0,2.5,11.819,0.0,3.5
6/10/2018 20:41,19.662,3788.9,0,20.424,0,1,20.138,10.8,1.5,19.282,0,2,15.855,0,2.5,11.819,0.0,3.5
6/10/2018 20:51,19.377,2066.7,0,20.329,0,1,20.138,0,1.5,19.282,0,2,15.378,0,2.5,12.207,0.0,3.5
6/10/2018 21:01,18.901,1205.6,0,20.234,0,1,20.138,0,1.5,19.377,0,2,15.473,0,2.5,12.401,0.0,3.5
6/10/2018 21:11,18.521,861.1,0,20.234,0,1,20.138,0,1.5,19.472,0,2,15.569,0,2.5,12.11,0.0,3.5
6/10/2018 21:21,18.14,129.2,0,20.234,0,1,20.138,0,1.5,19.472,0,2,15.951,0,2.5,12.013,0.0,3.5
6/10/2018 21:31,17.76,10.8,0,20.234,0,1,20.043,0,1.5,19.282,0,2,16.237,0,2.5,12.207,0.0,3.5
6/10/2018 21:41,17.475,0,0,20.138,0,1,20.138,0,1.5,19.377,0,2,16.332,0,2.5,12.11,0.0,3.5
6/10/2018 21:51,16.903,0,0,20.138,0,1,20.138,0,1.5,19.282,0,2,16.332,0,2.5,12.11,0.0,3.5
6/10/2018 22:01,16.523,0,0,20.138,0,1,20.043,0,1.5,19.567,0,2,15.951,0,2.5,12.207,0.0,3.5
6/10/2018 22:11,16.713,0,0,20.138,0,1,20.138,0,1.5,19.472,0,2,15.569,0,2.5,12.207,0.0,3.5
6/10/2018 22:21,16.618,0,0,19.948,0,1,20.138,0,1.5,18.996,0,2,16.523,0,2.5,12.304,0.0,3.5
6/10/2018 22:31,16.332,0,0,19.948,0,1,20.043,0,1.5,19.187,0,2,16.427,0,2.5,11.916,0.0,3.5
6/10/2018 22:41,16.141,0,0,19.853,0,1,19.948,0,1.5,19.282,0,2,16.141,0,2.5,11.819,0.0,3.5
6/10/2018 22:51,16.237,0,0,19.853,0,1,19.948,0,1.5,19.282,0,2,16.141,0,2.5,11.819,0.0,3.5
6/10/2018 23:01,16.237,0,0,19.853,0,1,20.043,0,1.5,19.377,0,2,15.664,0,2.5,12.401,0.0,3.5
6/10/2018 23:11,16.046,0,0,19.758,0,1,20.043,0,1.5,19.377,0,2,15.569,0,2.5,12.69,0.0,3.5
6/10/2018 23:21,15.951,0,0,19.758,0,1,19.948,0,1.5,19.377,0,2,15.664,0,2.5,12.207,0.0,3.5
6/10/2018 23:31,15.855,0,0,19.662,0,1,19.948,0,1.5,19.282,0,2,16.141,0,2.5,11.916,0.0,3.5
6/10/2018 23:41,15.569,0,0,19.662,0,1,19.948,0,1.5,19.282,0,2,16.523,0,2.5,11.819,0.0,3.5
6/10/2018 23:51,15.664,0,0,19.662,0,1,19.853,0,1.5,19.187,0,2,16.523,0,2.5,12.013,0.0,3.5
6/11/2018 0:01,15.76,0,0,19.567,0,1,19.853,0,1.5,19.187,0,2,16.332,0,2.5,12.11,0.0,3.5
6/11/2018 0:11,15.951,0,0,19.472,0,1,19.758,0,1.5,19.092,0,2,15.76,0,2.5,12.11,0.0,3.5
6/11/2018 0:21,15.473,0,0,19.472,0,1,19.758,0,1.5,19.187,0,2,16.427,0,2.5,12.304,0.0,3.5
6/11/2018 0:31,14.996,0,0,19.472,0,1,19.758,0,1.5,19.092,0,2,16.141,0,2.5,12.013,0.0,3.5
6/11/2018 0:41,14.421,0,0,19.472,0,1,19.662,0,1.5,19.187,0,2,16.332,0,2.5,12.013,0.0,3.5
6/11/2018 0:51,14.517,0,0,19.472,0,1,19.662,0,1.5,19.187,0,2,15.76,0,2.5,12.013,0.0,3.5
6/11/2018 1:01,14.709,0,0,19.377,0,1,19.662,0,1.5,19.282,0,2,15.664,0,2.5,12.401,0.0,3.5
6/11/2018 1:11,14.325,0,0,19.472,0,1,19.662,0,1.5,19.282,0,2,15.855,0,2.5,12.497,0.0,3.5
6/11/2018 1:21,14.613,0,0,19.377,0,1,19.567,0,1.5,19.282,0,2,15.855,0,2.5,11.916,0.0,3.5
6/11/2018 1:31,14.9,0,0,19.282,0,1,19.567,0,1.5,19.282,0,2,16.141,0,2.5,11.819,0.0,3.5
6/11/2018 1:41,14.996,0,0,19.282,0,1,19.472,0,1.5,18.901,0,2,16.332,0,2.5,12.013,0.0,3.5
6/11/2018 1:51,14.9,0,0,19.187,0,1,19.472,0,1.5,18.711,0,2,16.427,0,2.5,12.11,0.0,3.5
6/11/2018 2:01,14.613,0,0,19.187,0,1,19.472,0,1.5,18.806,0,2,16.618,0,2.5,12.207,0.0,3.5
6/11/2018 2:11,14.517,0,0,19.092,0,1,19.377,0,1.5,18.901,0,2,16.237,0,2.5,12.11,0.0,3.5
6/11/2018 2:21,14.23,0,0,19.092,0,1,19.377,0,1.5,18.996,0,2,15.951,0,2.5,12.013,0.0,3.5
6/11/2018 2:31,13.846,0,0,18.996,0,1,19.282,0,1.5,18.996,0,2,15.76,0,2.5,12.69,0.0,3.5
6/11/2018 2:41,13.461,0,0,18.996,0,1,19.282,0,1.5,18.996,0,2,15.855,0,2.5,12.401,0.0,3.5
6/11/2018 2:51,13.076,0,0,18.901,0,1,19.187,0,1.5,18.996,0,2,16.141,0,2.5,12.11,0.0,3.5
6/11/2018 3:01,13.076,0,0,18.806,0,1,19.187,0,1.5,18.996,0,2,15.76,0,2.5,11.819,0.0,3.5
6/11/2018 3:11,12.787,0,0,18.806,0,1,19.092,0,1.5,18.806,0,2,16.427,0,2.5,12.013,0.0,3.5
6/11/2018 3:21,12.013,0,0,18.806,0,1,19.092,0,1.5,18.806,0,2,15.76,0,2.5,12.013,0.0,3.5
6/11/2018 3:31,11.625,0,0,18.806,0,1,18.996,0,1.5,18.901,0,2,16.427,0,2.5,12.207,0.0,3.5
6/11/2018 3:41,11.139,0,0,18.711,0,1,18.996,0,1.5,18.806,0,2,15.855,0,2.5,11.916,0.0,3.5
6/11/2018 3:51,10.553,0,0,18.616,0,1,18.901,0,1.5,18.806,0,2,16.427,0,2.5,12.11,0.0,3.5
6/11/2018 4:01,10.259,0,0,18.616,0,1,18.901,0,1.5,18.806,0,2,16.141,0,2.5,12.11,0.0,3.5
6/11/2018 4:11,10.161,0,0,18.616,0,1,18.806,0,1.5,18.806,0,2,15.951,0,2.5,12.207,0.0,3.5
6/11/2018 4:21,9.669,0,0,18.616,0,1,18.806,0,1.5,18.806,0,2,16.141,0,2.5,12.401,0.0,3.5
6/11/2018 4:31,9.176,53.8,0,18.521,0,1,18.806,0,1.5,18.711,0,2,16.046,0,2.5,12.11,0.0,3.5
6/11/2018 4:41,8.879,161.5,0,18.426,0,1,18.806,0,1.5,18.616,0,2,16.332,0,2.5,12.207,0.0,3.5
6/11/2018 4:51,8.879,635.1,0,18.426,0,1,18.711,0,1.5,18.616,0,2,16.237,0,2.5,11.916,0.0,3.5
6/11/2018 5:01,8.779,1097.9,0,18.331,0,1,18.711,0,1.5,18.616,0,2,16.141,0,2.5,12.207,0.0,3.5
6/11/2018 5:11,8.581,1377.8,0,18.331,0,1,18.616,0,1.5,18.521,0,2,15.951,0,2.5,12.207,0.0,3.5
6/11/2018 5:21,8.481,1894.5,0,18.236,0,1,18.616,0,1.5,18.426,0,2,16.141,0,2.5,12.013,0.0,3.5
6/11/2018 5:31,8.779,3272.2,0,18.236,0,1,18.616,0,1.5,18.426,0,2,16.332,0,2.5,12.11,0.0,3.5
6/11/2018 5:41,9.077,4133.4,0,18.236,21.5,1,18.521,21.5,1.5,18.426,0,2,16.141,0,2.5,12.013,0.0,3.5
6/11/2018 5:51,10.651,19977.9,0,18.14,32.3,1,18.426,32.3,1.5,18.331,0,2,16.046,0,2.5,12.11,0.0,3.5
