DateTime,TemperatureAboveSurface_degC,LightAboveSurface_units,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,SensorE_DepthFromTop_m,SensorE_Temp_degC,SensorE_Light_Lux,SensorF_DepthFromTop_m,SensorF_Temp_degC,SensorF_Light_Lux,SensorG_DepthFromTop_m,SensorG_Temp_degC,SensorG_Light_Lux,SensorH_DepthFromTop_m,SensorH_Temp_degC,SensorH_Light_Lux,PondMaxDepth_m
6/10/2019 0:00,NA,NA,0.22,21.57,NA,0.47,21.57,NA,0.72,21.28,NA,0.97,17.86,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.42,NA,1.97
6/10/2019 0:30,NA,NA,0.22,21.47,NA,0.47,21.47,NA,0.72,21.38,NA,0.97,17.95,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.42,NA,1.97
6/10/2019 1:00,NA,NA,0.22,21.38,NA,0.47,21.38,NA,0.72,21.28,NA,0.97,17.95,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.44,NA,1.97
6/10/2019 1:30,NA,NA,0.22,21.19,NA,0.47,21.19,NA,0.72,21.19,NA,0.97,17.95,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.42,NA,1.97
6/10/2019 2:00,NA,NA,0.22,21.09,NA,0.47,21.09,NA,0.72,21.09,NA,0.97,17.95,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.42,NA,1.97
6/10/2019 2:30,NA,NA,0.22,21,NA,0.47,21,NA,0.72,21,NA,0.97,17.95,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.44,NA,1.97
6/10/2019 3:00,NA,NA,0.22,20.9,NA,0.47,20.9,NA,0.72,20.9,NA,0.97,17.95,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.44,NA,1.97
6/10/2019 3:30,NA,NA,0.22,20.81,NA,0.47,20.81,NA,0.72,20.81,NA,0.97,17.95,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.42,NA,1.97
6/10/2019 4:00,NA,NA,0.22,20.62,NA,0.47,20.62,NA,0.72,20.71,NA,0.97,17.95,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.46,NA,1.97
6/10/2019 4:30,NA,NA,0.22,20.52,NA,0.47,20.52,NA,0.72,20.52,NA,0.97,17.95,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.44,NA,1.97
6/10/2019 5:00,NA,NA,0.22,20.42,NA,0.47,20.42,NA,0.72,20.42,NA,0.97,17.86,NA,1.22,15.47,NA,1.59,12.4,NA,1.87,11.45,NA,1.97
