DateTime,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorE_DepthFromTop_m,SensorE_Temp_degC,PondMaxDepth_m
6/10/2019 0:00,0.02,15.7,0.4,14.537,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 0:10,0.02,15.652,0.4,14.545,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 0:20,0.02,15.557,0.4,14.553,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 0:30,0.02,15.461,0.4,14.553,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 0:40,0.02,15.438,0.4,14.553,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 0:50,0.02,15.318,0.4,14.553,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 1:00,0.02,15.223,0.4,14.561,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 1:10,0.02,15.199,0.4,14.569,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 1:20,0.02,15.103,0.4,14.577,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 1:30,0.02,15.031,0.4,14.601,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 1:40,0.02,14.912,0.4,14.625,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 1:50,0.02,14.84,0.4,14.649,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 2:00,0.02,14.768,0.4,14.681,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 2:10,0.02,14.721,0.4,14.713,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 2:20,0.02,14.649,0.4,14.745,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 2:30,0.02,14.649,0.4,14.705,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 2:40,0.02,14.625,0.4,14.665,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 2:50,0.02,14.577,0.4,14.625,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 3:00,0.02,14.457,0.4,14.585,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 3:10,0.02,14.433,0.4,14.545,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 3:20,0.02,14.409,0.4,14.505,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 3:30,0.02,14.385,0.4,14.473,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 3:40,0.02,14.337,0.4,14.441,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 3:50,0.02,14.266,0.4,14.409,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 4:00,0.02,14.29,0.4,14.37733333,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 4:10,0.02,14.218,0.4,14.34566667,0.8,13.69,1.2,13.088,1.6,11.953,2.00
6/10/2019 4:20,0.02,14.194,0.4,14.314,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 4:30,0.02,14.194,0.4,14.29,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 4:40,0.02,14.146,0.4,14.266,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 4:50,0.02,14.122,0.4,14.242,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 5:00,0.02,14.074,0.4,14.218,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 5:10,0.02,14.122,0.4,14.194,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 5:20,0.02,14.026,0.4,14.17,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 5:30,0.02,14.05,0.4,14.154,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 5:40,0.02,14.074,0.4,14.138,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 5:50,0.02,14.05,0.4,14.122,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 6:00,0.02,14.026,0.4,14.106,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 6:10,0.02,14.002,0.4,14.09,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 6:20,0.02,14.002,0.4,14.074,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 6:30,0.02,13.954,0.4,14.058,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 6:40,0.02,13.93,0.4,14.042,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 6:50,0.02,13.978,0.4,14.026,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 7:00,0.02,13.93,0.4,14.018,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 7:10,0.02,13.93,0.4,14.01,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 7:20,0.02,13.93,0.4,14.002,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 7:30,0.02,13.954,0.4,14.01,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 7:40,0.02,13.93,0.4,14.018,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 7:50,0.02,13.954,0.4,14.026,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 8:00,0.02,13.978,0.4,14.026,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 8:10,0.02,13.978,0.4,14.026,0.8,13.714,1.2,13.064,1.6,11.953,2.00
6/10/2019 8:20,0.02,14.002,0.4,14.026,0.8,13.714,1.2,13.064,1.6,11.953,2.00
6/10/2019 8:30,0.02,14.026,0.4,14.026,0.8,13.714,1.2,13.064,1.6,11.953,2.00
6/10/2019 8:40,0.02,14.05,0.4,14.026,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 8:50,0.02,14.098,0.4,14.026,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 9:00,0.02,14.122,0.4,14.026,0.8,13.69,1.2,13.064,1.6,11.953,2.00
6/10/2019 9:10,0.02,14.122,0.4,14.026,0.8,13.714,1.2,13.064,1.6,11.953,2.00
6/10/2019 9:20,0.02,14.146,0.4,14.026,0.8,13.714,1.2,13.064,1.6,11.953,2.00
6/10/2019 9:30,0.02,14.146,0.4,14.05,0.8,13.714,1.2,13.064,1.6,11.953,2.00
6/10/2019 9:40,0.02,14.242,0.4,14.074,0.8,13.714,1.2,13.064,1.6,11.953,2.00
6/10/2019 9:50,0.02,14.361,0.4,14.098,0.8,13.714,1.2,13.088,1.6,11.953,2.00
6/10/2019 10:00,0.02,14.529,0.4,14.114,0.8,13.738,1.2,13.088,1.6,11.953,2.00
6/10/2019 10:10,0.02,14.745,0.4,14.13,0.8,13.738,1.2,13.088,1.6,11.953,2.00
6/10/2019 10:20,0.02,14.96,0.4,14.146,0.8,13.738,1.2,13.088,1.6,11.953,2.00
6/10/2019 10:30,0.02,15.031,0.4,14.186,0.8,13.738,1.2,13.064,1.6,11.953,2.00
6/10/2019 10:40,0.02,15.127,0.4,14.226,0.8,13.738,1.2,13.064,1.6,11.953,2.00
6/10/2019 10:50,0.02,15.366,0.4,14.266,0.8,13.786,1.2,13.088,1.6,11.953,2.00
6/10/2019 11:00,0.02,15.605,0.4,14.29766667,0.8,13.786,1.2,13.112,1.6,11.953,2.00
6/10/2019 11:10,0.02,15.843,0.4,14.32933333,0.8,13.81,1.2,13.112,1.6,11.953,2.00
6/10/2019 11:20,0.02,16.463,0.4,14.361,0.8,13.81,1.2,13.088,1.6,11.953,2.00
6/10/2019 11:30,0.02,16.963,0.4,14.393,0.8,13.81,1.2,13.088,1.6,11.953,2.00
6/10/2019 11:40,0.02,17.891,0.4,14.425,0.8,13.81,1.2,13.088,1.6,11.953,2.00
6/10/2019 11:50,0.02,17.153,0.4,14.457,0.8,13.834,1.2,13.112,1.6,11.953,2.00
6/10/2019 12:00,0.02,17.819,0.4,14.497,0.8,13.834,1.2,13.112,1.6,11.953,2.00
6/10/2019 12:10,0.02,18.628,0.4,14.537,0.8,13.882,1.2,13.112,1.6,11.953,2.00
6/10/2019 12:20,0.02,19.08,0.4,14.577,0.8,13.858,1.2,13.112,1.6,11.953,2.00
6/10/2019 12:30,0.02,19.056,0.4,14.593,0.8,13.834,1.2,13.112,1.6,11.953,2.00
6/10/2019 12:40,0.02,19.318,0.4,14.609,0.8,13.858,1.2,13.112,1.6,11.953,2.00
6/10/2019 12:50,0.02,19.603,0.4,14.625,0.8,13.882,1.2,13.112,1.6,11.953,2.00
6/10/2019 13:00,0.02,19.865,0.4,14.649,0.8,13.906,1.2,13.137,1.6,11.953,2.00
6/10/2019 13:10,0.02,19.793,0.4,14.673,0.8,13.882,1.2,13.112,1.6,11.953,2.00
6/10/2019 13:20,0.02,20.269,0.4,14.697,0.8,13.93,1.2,13.137,1.6,11.953,2.00
6/10/2019 13:30,0.02,20.507,0.4,14.689,0.8,13.906,1.2,13.137,1.6,11.953,2.00
6/10/2019 13:40,0.02,20.913,0.4,14.681,0.8,13.906,1.2,13.112,1.6,11.953,2.00
6/10/2019 13:50,0.02,20.746,0.4,14.673,0.8,13.906,1.2,13.137,1.6,11.953,2.00
6/10/2019 14:00,0.02,21.246,0.4,14.72866667,0.8,13.93,1.2,13.137,1.6,11.953,2.00
6/10/2019 14:10,0.02,21.056,0.4,14.78433333,0.8,13.906,1.2,13.161,1.6,11.953,2.00
6/10/2019 14:20,0.02,20.865,0.4,14.84,0.8,13.93,1.2,13.161,1.6,11.953,2.00
6/10/2019 14:30,0.02,21.461,0.4,14.80833333,0.8,13.978,1.2,13.137,1.6,11.953,2.00
6/10/2019 14:40,0.02,21.199,0.4,14.77666667,0.8,13.906,1.2,13.137,1.6,11.953,2.00
6/10/2019 14:50,0.02,21.318,0.4,14.745,0.8,13.93,1.2,13.137,1.6,11.953,2.00
6/10/2019 15:00,0.02,21.294,0.4,14.81666667,0.8,13.954,1.2,13.161,1.6,11.953,2.00
6/10/2019 15:10,0.02,21.413,0.4,14.88833333,0.8,13.954,1.2,13.185,1.6,11.953,2.00
6/10/2019 15:20,0.02,21.628,0.4,14.96,0.8,13.954,1.2,13.161,1.6,11.953,2.00
6/10/2019 15:30,0.02,21.604,0.4,14.96,0.8,13.954,1.2,13.161,1.6,11.953,2.00
6/10/2019 15:40,0.02,21.509,0.4,14.96,0.8,13.978,1.2,13.161,1.6,11.953,2.00
6/10/2019 15:50,0.02,21.318,0.4,14.96,0.8,13.954,1.2,13.161,1.6,11.953,2.00
6/10/2019 16:00,0.02,21.223,0.4,14.99966667,0.8,13.978,1.2,13.161,1.6,11.953,2.00
6/10/2019 16:10,0.02,21.175,0.4,15.03933333,0.8,14.002,1.2,13.185,1.6,11.953,2.00
6/10/2019 16:20,0.02,21.533,0.4,15.079,0.8,14.026,1.2,13.185,1.6,11.953,2.00
6/10/2019 16:30,0.02,21.437,0.4,15.079,0.8,14.026,1.2,13.185,1.6,11.953,2.00
6/10/2019 16:40,0.02,21.413,0.4,15.079,0.8,14.026,1.2,13.185,1.6,11.953,2.00
6/10/2019 16:50,0.02,21.581,0.4,15.079,0.8,14.002,1.2,13.185,1.6,11.953,2.00
6/10/2019 17:00,0.02,21.366,0.4,15.103,0.8,14.002,1.2,13.185,1.6,11.953,2.00
6/10/2019 17:10,0.02,21.366,0.4,15.127,0.8,14.05,1.2,13.185,1.6,11.953,2.00
6/10/2019 17:20,0.02,21.461,0.4,15.151,0.8,14.026,1.2,13.185,1.6,11.953,2.00
6/10/2019 17:30,0.02,21.413,0.4,15.143,0.8,14.002,1.2,13.185,1.6,11.953,2.00
6/10/2019 17:40,0.02,21.533,0.4,15.135,0.8,14.026,1.2,13.185,1.6,11.953,2.00
6/10/2019 17:50,0.02,21.39,0.4,15.127,0.8,14.026,1.2,13.209,1.6,11.953,2.00
6/10/2019 18:00,0.02,21.27,0.4,15.151,0.8,14.074,1.2,13.185,1.6,11.953,2.00
6/10/2019 18:10,0.02,21.246,0.4,15.175,0.8,13.978,1.2,13.161,1.6,11.953,2.00
6/10/2019 18:20,0.02,21.199,0.4,15.199,0.8,14.05,1.2,13.185,1.6,11.953,2.00
6/10/2019 18:30,0.02,20.984,0.4,15.183,0.8,14.074,1.2,13.185,1.6,11.953,2.00
6/10/2019 18:40,0.02,20.746,0.4,15.167,0.8,14.002,1.2,13.161,1.6,11.953,2.00
6/10/2019 18:50,0.02,20.531,0.4,15.151,0.8,14.05,1.2,13.137,1.6,11.953,2.00
6/10/2019 19:00,0.02,20.412,0.4,15.159,0.8,14.026,1.2,13.185,1.6,11.953,2.00
6/10/2019 19:10,0.02,20.222,0.4,15.167,0.8,14.05,1.2,13.161,1.6,11.953,2.00
6/10/2019 19:20,0.02,20.031,0.4,15.175,0.8,14.002,1.2,13.185,1.6,11.953,2.00
6/10/2019 19:30,0.02,19.888,0.4,15.191,0.8,14.05,1.2,13.185,1.6,11.953,2.00
6/10/2019 19:40,0.02,19.793,0.4,15.207,0.8,14.05,1.2,13.185,1.6,11.953,2.00
6/10/2019 19:50,0.02,19.603,0.4,15.223,0.8,14.026,1.2,13.161,1.6,11.953,2.00
6/10/2019 20:00,0.02,19.46,0.4,15.223,0.8,14.002,1.2,13.161,1.6,11.953,2.00
6/10/2019 20:10,0.02,19.389,0.4,15.223,0.8,14.026,1.2,13.161,1.6,11.953,2.00
6/10/2019 20:20,0.02,19.199,0.4,15.223,0.8,14.05,1.2,13.161,1.6,11.953,2.00
6/10/2019 20:30,0.02,18.913,0.4,15.223,0.8,14.05,1.2,13.185,1.6,11.953,2.00
6/10/2019 20:40,0.02,18.818,0.4,15.223,0.8,14.05,1.2,13.185,1.6,11.953,2.00
6/10/2019 20:50,0.02,18.628,0.4,15.223,0.8,14.026,1.2,13.161,1.6,11.953,2.00
6/10/2019 21:00,0.02,18.533,0.4,15.223,0.8,14.026,1.2,13.161,1.6,11.953,2.00
6/10/2019 21:10,0.02,18.271,0.4,15.223,0.8,14.026,1.2,13.185,1.6,11.953,2.00
6/10/2019 21:20,0.02,18.2,0.4,15.223,0.8,14.026,1.2,13.161,1.6,11.953,2.00
