DateTime,TemperatureAboveSurface_degC,LightAboveSurface_units,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,SensorE_DepthFromTop_m,SensorE_Temp_degC,SensorE_Light_Lux,PondMaxDepth_m
6/10/2013 17:15,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.78,NA,0.47,13.38,NA,0.47
6/10/2013 17:30,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 17:45,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 18:00,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.78,NA,0.47,13.38,NA,0.47
6/10/2013 18:15,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 18:30,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 18:45,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.78,NA,0.47,13.38,NA,0.47
6/10/2013 19:00,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.78,NA,0.47,13.38,NA,0.47
6/10/2013 19:15,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.78,NA,0.47,13.38,NA,0.47
6/10/2013 19:30,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.78,NA,0.47,13.38,NA,0.47
6/10/2013 19:45,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.78,NA,0.47,13.38,NA,0.47
6/10/2013 20:00,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.78,NA,0.47,13.38,NA,0.47
6/10/2013 20:15,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 20:30,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 20:45,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 21:00,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/10/2013 21:15,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 21:30,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/10/2013 21:45,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 22:00,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/10/2013 22:15,NA,NA,0.1,14.85,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 22:30,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/10/2013 22:45,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/10/2013 23:00,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/10/2013 23:15,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/10/2013 23:30,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/10/2013 23:45,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/11/2013 0:00,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/11/2013 0:15,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/11/2013 0:30,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/11/2013 0:45,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.38,NA,0.47
6/11/2013 1:00,NA,NA,0.1,14.56,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
6/11/2013 1:15,NA,NA,0.1,14.27,NA,0.2,14.61,NA,0.3,13.88,NA,0.4,13.78,NA,0.47,13.38,NA,0.47
6/11/2013 1:30,NA,NA,0.1,14.27,NA,0.2,14.32,NA,0.3,13.88,NA,0.4,13.5,NA,0.47,13.1,NA,0.47
