DateTime,TemperatureAboveSurface_degC,LightAboveSurface_Lux,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,SensorE_DepthFromTop_m,SensorE_Temp_degC,SensorE_Light_Lux,PondMaxDepth_m
6/10/2018 0:00,NA,NA,0.02,16.415,NA,0.069,16.249,NA,0.219,16.368,NA,0.369,15.557,NA,0.519,14.002,NA,0.569
6/10/2018 0:10,NA,NA,0.02,16.368,NA,0.068,16.177,NA,0.218,16.32,NA,0.368,15.533,NA,0.518,14.002,NA,0.568
6/10/2018 0:20,NA,NA,0.02,16.344,NA,0.069,16.153,NA,0.219,16.272,NA,0.369,15.533,NA,0.519,14.002,NA,0.569
6/10/2018 0:30,NA,NA,0.02,16.296,NA,0.069,16.106,NA,0.219,16.249,NA,0.369,15.533,NA,0.519,14.002,NA,0.569
6/10/2018 0:40,NA,NA,0.02,16.272,NA,0.069,16.058,NA,0.219,16.201,NA,0.369,15.509,NA,0.519,14.002,NA,0.569
6/10/2018 0:50,NA,NA,0.02,16.225,NA,0.069,16.034,NA,0.219,16.177,NA,0.369,15.509,NA,0.519,14.002,NA,0.569
6/10/2018 1:00,NA,NA,0.02,16.177,NA,0.069,15.986,NA,0.219,16.129,NA,0.369,15.509,NA,0.519,14.002,NA,0.569
6/10/2018 1:10,NA,NA,0.02,16.129,NA,0.069,15.963,NA,0.219,16.082,NA,0.369,15.509,NA,0.519,14.002,NA,0.569
6/10/2018 1:20,NA,NA,0.02,16.082,NA,0.069,15.939,NA,0.219,16.058,NA,0.369,15.509,NA,0.519,14.002,NA,0.569
6/10/2018 1:30,NA,NA,0.02,16.082,NA,0.069,15.867,NA,0.219,16.034,NA,0.369,15.509,NA,0.519,14.002,NA,0.569
6/10/2018 1:40,NA,NA,0.02,16.034,NA,0.069,15.843,NA,0.219,15.986,NA,0.369,15.509,NA,0.519,14.002,NA,0.569
6/10/2018 1:50,NA,NA,0.02,16.034,NA,0.069,15.819,NA,0.219,15.939,NA,0.369,15.509,NA,0.519,14.002,NA,0.569
6/10/2018 2:00,NA,NA,0.02,15.986,NA,0.069,15.819,NA,0.219,15.939,NA,0.369,15.509,NA,0.519,14.002,NA,0.569
6/10/2018 2:10,NA,NA,0.02,15.963,NA,0.069,15.796,NA,0.219,15.915,NA,0.369,15.485,NA,0.519,14.002,NA,0.569
6/10/2018 2:20,NA,NA,0.02,15.939,NA,0.069,15.772,NA,0.219,15.867,NA,0.369,15.485,NA,0.519,14.002,NA,0.569
6/10/2018 2:30,NA,NA,0.02,15.891,NA,0.069,15.724,NA,0.219,15.843,NA,0.369,15.461,NA,0.519,14.002,NA,0.569
6/10/2018 2:40,NA,NA,0.02,15.891,NA,0.069,15.7,NA,0.219,15.843,NA,0.369,15.461,NA,0.519,14.002,NA,0.569
6/10/2018 2:50,NA,NA,0.02,15.843,NA,0.069,15.676,NA,0.219,15.796,NA,0.369,15.461,NA,0.519,14.002,NA,0.569
6/10/2018 3:00,NA,NA,0.02,15.819,NA,0.069,15.652,NA,0.219,15.772,NA,0.369,15.438,NA,0.519,14.002,NA,0.569
6/10/2018 3:10,NA,NA,0.02,15.772,NA,0.07,15.629,NA,0.22,15.748,NA,0.37,15.414,NA,0.52,14.002,NA,0.57
6/10/2018 3:20,NA,NA,0.02,15.748,NA,0.07,15.629,NA,0.22,15.724,NA,0.37,15.414,NA,0.52,14.002,NA,0.57
6/10/2018 3:30,NA,NA,0.02,15.724,NA,0.07,15.581,NA,0.22,15.7,NA,0.37,15.414,NA,0.52,14.002,NA,0.57
6/10/2018 3:40,NA,NA,0.02,15.7,NA,0.07,15.557,NA,0.22,15.676,NA,0.37,15.39,NA,0.52,14.002,NA,0.57
6/10/2018 3:50,NA,NA,0.02,15.652,NA,0.07,15.533,NA,0.22,15.652,NA,0.37,15.39,NA,0.52,14.002,NA,0.57
6/10/2018 4:00,NA,NA,0.02,15.652,NA,0.07,15.509,NA,0.22,15.629,NA,0.37,15.366,NA,0.52,14.002,NA,0.57
6/10/2018 4:10,NA,NA,0.02,15.652,NA,0.07,15.485,NA,0.22,15.605,NA,0.37,15.366,NA,0.52,14.002,NA,0.57
6/10/2018 4:20,NA,NA,0.02,15.629,NA,0.07,15.485,NA,0.22,15.581,NA,0.37,15.342,NA,0.52,14.002,NA,0.57
6/10/2018 4:30,NA,NA,0.02,15.605,NA,0.07,15.461,NA,0.22,15.557,NA,0.37,15.318,NA,0.52,14.002,NA,0.57
6/10/2018 4:40,NA,NA,0.02,15.581,NA,0.07,15.438,NA,0.22,15.533,NA,0.37,15.318,NA,0.52,14.002,NA,0.57
6/10/2018 4:50,NA,NA,0.02,15.581,NA,0.07,15.414,NA,0.22,15.509,NA,0.37,15.294,NA,0.52,14.002,NA,0.57
6/10/2018 5:00,NA,NA,0.02,15.557,NA,0.07,15.39,NA,0.22,15.485,NA,0.37,15.294,NA,0.52,14.002,NA,0.57
6/10/2018 5:10,NA,NA,0.02,15.557,NA,0.07,15.39,NA,0.22,15.461,NA,0.37,15.27,NA,0.52,14.002,NA,0.57
6/10/2018 5:20,NA,NA,0.02,15.509,NA,0.07,15.366,NA,0.22,15.461,NA,0.37,15.27,NA,0.52,14.002,NA,0.57
6/10/2018 5:30,NA,NA,0.02,15.509,NA,0.07,15.342,NA,0.22,15.438,NA,0.37,15.27,NA,0.52,14.002,NA,0.57
6/10/2018 5:40,NA,NA,0.02,15.509,NA,0.07,15.342,NA,0.22,15.414,NA,0.37,15.247,NA,0.52,14.002,NA,0.57
6/10/2018 5:50,NA,NA,0.02,15.485,NA,0.07,15.342,NA,0.22,15.414,NA,0.37,15.247,NA,0.52,14.002,NA,0.57
6/10/2018 6:00,NA,NA,0.02,15.461,NA,0.07,15.318,NA,0.22,15.39,NA,0.37,15.223,NA,0.52,14.002,NA,0.57
6/10/2018 6:10,NA,NA,0.02,15.461,NA,0.07,15.318,NA,0.22,15.366,NA,0.37,15.223,NA,0.52,14.002,NA,0.57
6/10/2018 6:20,NA,NA,0.02,15.438,NA,0.07,15.294,NA,0.22,15.366,NA,0.37,15.223,NA,0.52,14.002,NA,0.57
6/10/2018 6:30,NA,NA,0.02,15.438,NA,0.07,15.294,NA,0.22,15.366,NA,0.37,15.199,NA,0.52,14.002,NA,0.57
6/10/2018 6:40,NA,NA,0.02,15.414,NA,0.07,15.294,NA,0.22,15.342,NA,0.37,15.199,NA,0.52,14.002,NA,0.57
6/10/2018 6:50,NA,NA,0.02,15.414,NA,0.07,15.27,NA,0.22,15.342,NA,0.37,15.175,NA,0.52,14.002,NA,0.57
6/10/2018 7:00,NA,NA,0.02,15.414,NA,0.07,15.27,NA,0.22,15.318,NA,0.37,15.175,NA,0.52,14.002,NA,0.57
