DateTime,TemperatureAboveSurface_degC,LightAboveSurface_Lux,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,SensorE_DepthFromTop_m,SensorE_Temp_degC,SensorE_Light_Lux,PondMaxDepth_m
6/21/2018 13:15,NA,NA,0,25.61,236.8,0.25,25.513,3100,0.5,25.61,6544.5,0.75,25.902,1076.4,1,25.416,3100,1.2
6/21/2018 13:30,NA,NA,0,25.708,247.6,0.25,26.195,3272.2,0.5,26,9300.1,0.75,26.195,1227.1,1,25.222,2927.8,1.2
6/21/2018 13:45,NA,NA,0,25.805,139.9,0.25,26,5166.7,0.5,26.097,7577.8,0.75,25.902,1550,1,25.125,2755.6,1.2
6/21/2018 14:00,NA,NA,0,26,226,0.25,26,8266.7,0.5,26.195,3272.2,0.75,25.902,1722.2,1,24.931,2325,1.2
6/21/2018 14:15,NA,NA,0,26.097,183,0.25,26.977,20666.8,0.5,26.488,6544.5,0.75,26.195,1550,1,25.125,3100,1.2
6/21/2018 14:30,NA,NA,0,26.292,559.7,0.25,26.39,14466.8,0.5,26.39,10677.8,0.75,26.292,2411.1,1,25.222,5511.1,1.2
6/21/2018 14:45,NA,NA,0,26.39,409,0.25,26.39,14466.8,0.5,26.585,10677.8,0.75,26.39,1980.6,1,25.222,5166.7,1.2
6/21/2018 15:00,NA,NA,0,26.488,387.5,0.25,27.37,82667.2,0.5,26.781,14466.8,0.75,26.781,2238.9,1,25.319,5166.7,1.2
6/21/2018 15:15,NA,NA,0,26.683,624.3,0.25,26.879,14466.8,0.5,26.781,9644.5,0.75,26.488,2411.1,1,25.416,6544.5,1.2
6/21/2018 15:30,NA,NA,0,27.173,495.1,0.25,27.075,10333.4,0.5,26.977,9300.1,0.75,26.585,2497.2,1,25.513,6200,1.2
6/21/2018 15:45,NA,NA,0,26.977,86.1,0.25,26.879,5166.7,0.5,26.39,3100,0.75,26.39,968.8,1,25.319,936.5,1.2
6/21/2018 16:00,NA,NA,0,26.977,150.7,0.25,27.468,9300.1,0.5,26.781,5166.7,0.75,26.488,1280.9,1,25.416,1636.1,1.2
6/21/2018 16:15,NA,NA,0,26.879,387.5,0.25,27.665,41333.6,0.5,27.075,10677.8,0.75,26.585,4305.6,1,25.513,9644.5,1.2
6/21/2018 16:30,NA,NA,0,26.977,118.4,0.25,27.567,9644.5,0.5,26.879,5166.7,0.75,26.683,1636.1,1,25.513,1636.1,1.2
6/21/2018 16:45,NA,NA,0,26.977,269.1,0.25,27.764,30311.3,0.5,27.075,12400.1,0.75,26.683,5511.1,1,25.513,8266.7,1.2
6/21/2018 17:00,NA,NA,0,26.977,96.9,0.25,27.173,7577.8,0.5,26.879,3961.1,0.75,26.585,1463.9,1,25.416,1463.9,1.2
6/21/2018 17:15,NA,NA,0,26.977,107.6,0.25,27.075,8611.2,0.5,26.879,5338.9,0.75,26.585,1980.6,1,25.319,1636.1,1.2
6/21/2018 17:30,NA,NA,0,26.977,64.6,0.25,26.977,4133.4,0.5,26.879,2497.2,0.75,26.585,527.4,1,25.319,581.3,1.2
6/21/2018 17:45,NA,NA,0,26.879,32.3,0.25,26.879,2325,0.5,26.879,1377.8,0.75,26.488,505.9,1,25.222,312.2,1.2
6/21/2018 18:00,NA,NA,0,26.879,226,0.25,27.272,39955.8,0.5,27.173,13089,0.75,26.781,7577.8,1,25.416,4477.8,1.2
6/21/2018 18:15,NA,NA,0,26.781,172.2,0.25,27.075,17911.2,0.5,27.075,10677.8,0.75,26.683,8611.2,1,25.416,2669.5,1.2
6/21/2018 18:30,NA,NA,0,26.781,64.6,0.25,26.879,4477.8,0.5,26.879,3444.5,0.75,26.683,1722.2,1,25.319,979.5,1.2
6/21/2018 18:45,NA,NA,0,26.683,53.8,0.25,26.781,3961.1,0.5,26.781,2927.8,0.75,26.683,1377.8,1,25.319,667.4,1.2
6/21/2018 19:00,NA,NA,0,26.683,86.1,0.25,26.781,7577.8,0.5,26.781,4305.6,0.75,26.683,2927.8,1,25.319,1259.4,1.2
6/21/2018 19:15,NA,NA,0,26.585,75.3,0.25,26.683,7577.8,0.5,26.683,3788.9,0.75,26.683,2411.1,1,25.222,861.1,1.2
6/21/2018 19:30,NA,NA,0,26.585,43.1,0.25,26.585,3100,0.5,26.683,2325,0.75,26.585,1356.3,1,25.222,441.3,1.2
6/21/2018 19:45,NA,NA,0,26.585,21.5,0.25,26.488,1808.3,0.5,26.585,1377.8,0.75,26.585,645.8,1,25.222,290.6,1.2
6/21/2018 20:00,NA,NA,0,26.488,10.8,0.25,26.488,1097.9,0.5,26.488,775,0.75,26.488,366,1,25.125,161.5,1.2
6/21/2018 20:15,NA,NA,0,26.488,0,0.25,26.39,613.5,0.5,26.488,441.3,0.75,26.488,193.8,1,25.125,86.1,1.2
6/21/2018 20:30,NA,NA,0,26.39,0,0.25,26.39,301.4,0.5,26.488,204.5,0.75,26.39,86.1,1,25.028,32.3,1.2
