DateTime,TemperatureAboveSurface_degC,LightAboveSurface_units,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,PondMaxDepth_m
6/9/2019 0:00,NA,NA,0.1,18.045,0,1,18.711,0,1.8,18.616,0,1.81
6/9/2019 0:10,NA,NA,0.1,17.95,0,1,18.711,0,1.8,18.616,0,1.81
6/9/2019 0:20,NA,NA,0.1,18.045,0,1,18.616,0,1.8,18.616,0,1.81
6/9/2019 0:30,NA,NA,0.1,18.14,0,1,18.711,0,1.8,18.616,0,1.81
6/9/2019 0:40,NA,NA,0.1,18.045,0,1,18.711,0,1.8,18.616,0,1.81
6/9/2019 0:50,NA,NA,0.1,17.855,0,1,18.616,0,1.8,18.521,0,1.81
6/9/2019 1:00,NA,NA,0.1,17.665,0,1,18.426,0,1.8,18.426,0,1.81
6/9/2019 1:10,NA,NA,0.1,17.57,0,1,18.521,0,1.8,18.426,0,1.81
6/9/2019 1:20,NA,NA,0.1,17.665,0,1,18.426,0,1.8,18.331,0,1.81
6/9/2019 1:30,NA,NA,0.1,17.665,0,1,18.426,0,1.8,18.331,0,1.81
6/9/2019 1:40,NA,NA,0.1,17.475,0,1,18.331,0,1.8,18.331,0,1.81
6/9/2019 1:50,NA,NA,0.1,17.189,0,1,18.331,0,1.8,18.331,0,1.81
6/9/2019 2:00,NA,NA,0.1,17.284,0,1,18.236,0,1.8,18.236,0,1.81
6/9/2019 2:10,NA,NA,0.1,17.284,0,1,18.236,0,1.8,18.14,0,1.81
6/9/2019 2:20,NA,NA,0.1,17.284,0,1,18.236,0,1.8,18.14,0,1.81
6/9/2019 2:30,NA,NA,0.1,17.379,0,1,18.14,0,1.8,18.14,0,1.81
6/9/2019 2:40,NA,NA,0.1,17.379,0,1,18.14,0,1.8,18.14,0,1.81
6/9/2019 2:50,NA,NA,0.1,17.475,0,1,18.14,0,1.8,18.14,0,1.81
6/9/2019 3:00,NA,NA,0.1,17.475,0,1,18.045,0,1.8,18.045,0,1.81
6/9/2019 3:10,NA,NA,0.1,16.999,0,1,18.045,0,1.8,17.95,0,1.81
6/9/2019 3:20,NA,NA,0.1,16.999,0,1,18.045,0,1.8,17.95,0,1.81
6/9/2019 3:30,NA,NA,0.1,16.903,0,1,17.95,0,1.8,17.855,0,1.81
6/9/2019 3:40,NA,NA,0.1,16.618,0,1,17.95,0,1.8,17.855,0,1.81
6/9/2019 3:50,NA,NA,0.1,16.999,0,1,17.855,0,1.8,17.76,0,1.81
6/9/2019 4:00,NA,NA,0.1,16.903,0,1,17.76,0,1.8,17.76,0,1.81
6/9/2019 4:10,NA,NA,0.1,16.999,0,1,17.76,0,1.8,17.665,0,1.81
6/9/2019 4:20,NA,NA,0.1,16.427,0,1,17.665,0,1.8,17.665,0,1.81
6/9/2019 4:30,NA,NA,0.1,16.237,0,1,17.665,0,1.8,17.57,0,1.81
6/9/2019 4:40,NA,NA,0.1,15.569,0,1,17.57,0,1.8,17.57,0,1.81
6/9/2019 4:50,NA,NA,0.1,15.664,0,1,17.57,0,1.8,17.475,0,1.81
6/9/2019 5:00,NA,NA,0.1,15.569,0,1,17.57,0,1.8,17.475,0,1.81
6/9/2019 5:10,NA,NA,0.1,14.325,0,1,17.475,0,1.8,17.379,0,1.81
6/9/2019 5:20,NA,NA,0.1,14.038,10.8,1,17.475,0,1.8,17.379,0,1.81
6/9/2019 5:30,NA,NA,0.1,15.282,107.6,1,17.475,0,1.8,17.379,0,1.81
6/9/2019 5:40,NA,NA,0.1,14.613,322.9,1,17.379,0,1.8,17.284,0,1.81
6/9/2019 5:50,NA,NA,0.1,14.709,979.5,1,17.284,21.5,1.8,17.284,0,1.81
6/9/2019 6:00,NA,NA,0.1,13.75,2755.6,1,17.284,107.6,1.8,17.189,0,1.81
6/9/2019 6:10,NA,NA,0.1,14.709,2238.9,1,17.284,64.6,1.8,17.189,0,1.81
6/9/2019 6:20,NA,NA,0.1,14.134,1377.8,1,17.189,43.1,1.8,17.189,0,1.81
6/9/2019 6:30,NA,NA,0.1,15.091,5166.7,1,17.189,322.9,1.8,17.094,43.1,1.81
6/9/2019 6:40,NA,NA,0.1,15.187,5511.1,1,17.094,419.8,1.8,17.094,64.6,1.81
6/9/2019 6:50,NA,NA,0.1,15.473,11711.2,1,17.094,796.5,1.8,16.999,129.2,1.81
6/9/2019 7:00,NA,NA,0.1,16.237,7233.4,1,17.094,828.8,1.8,16.999,86.1,1.81
6/9/2019 7:10,NA,NA,0.1,17.094,8266.7,1,17.094,914.9,1.8,16.999,86.1,1.81
6/9/2019 7:20,NA,NA,0.1,16.999,27555.7,1,17.094,1162.5,1.8,16.999,107.6,1.81
6/9/2019 7:30,NA,NA,0.1,17.665,23422.4,1,17.094,1463.9,1.8,16.999,129.2,1.81
6/9/2019 7:40,NA,NA,0.1,18.14,55111.5,1,17.094,1722.2,1.8,16.999,139.9,1.81
6/9/2019 7:50,NA,NA,0.1,17.379,20666.8,1,17.094,1636.1,1.8,16.999,215.3,1.81
6/9/2019 8:00,NA,NA,0.1,17.665,52355.9,1,17.094,1722.2,1.8,16.999,226,1.81
6/9/2019 8:10,NA,NA,0.1,17.475,8266.7,1,17.094,1894.5,1.8,16.999,290.6,1.81
6/9/2019 8:20,NA,NA,0.1,17.094,7233.4,1,17.094,2152.8,1.8,16.999,333.7,1.81
6/9/2019 8:30,NA,NA,0.1,17.379,49600.3,1,17.094,1894.5,1.8,16.999,376.7,1.81
6/9/2019 8:40,NA,NA,0.1,17.475,37200.2,1,17.094,2066.7,1.8,16.999,398.3,1.81
6/9/2019 8:50,NA,NA,0.1,17.284,6200,1,17.094,3272.2,1.8,16.999,409,1.81
6/9/2019 9:00,NA,NA,0.1,16.999,7577.8,1,17.094,2583.4,1.8,16.999,495.1,1.81
6/9/2019 9:10,NA,NA,0.1,16.999,6200,1,17.094,2497.2,1.8,16.999,172.2,1.81
6/9/2019 9:20,NA,NA,0.1,16.999,7233.4,1,17.094,2325,1.8,16.999,635.1,1.81
6/9/2019 9:30,NA,NA,0.1,17.094,9644.5,1,17.094,2927.8,1.8,16.999,645.8,1.81
6/9/2019 9:40,NA,NA,0.1,17.094,10333.4,1,17.094,3444.5,1.8,16.999,635.1,1.81
6/9/2019 9:50,NA,NA,0.1,17.189,9300.1,1,17.189,3100,1.8,16.999,775,1.81
6/9/2019 10:00,NA,NA,0.1,17.189,9300.1,1,17.189,3444.5,1.8,17.094,818.1,1.81
6/9/2019 10:10,NA,NA,0.1,17.189,9300.1,1,17.189,3100,1.8,17.094,904.2,1.81
6/9/2019 10:20,NA,NA,0.1,17.284,11022.3,1,17.284,3272.2,1.8,17.094,958,1.81
6/9/2019 10:30,NA,NA,0.1,17.665,16533.4,1,17.284,4822.3,1.8,17.189,925.7,1.81
6/9/2019 10:40,NA,NA,0.1,17.475,12400.1,1,17.379,2755.6,1.8,17.189,796.5,1.81
6/9/2019 10:50,NA,NA,0.1,17.57,8266.7,1,17.379,3788.9,1.8,17.284,882.6,1.81
6/9/2019 11:00,NA,NA,0.1,17.57,11711.2,1,17.475,4133.4,1.8,17.284,904.2,1.81
6/9/2019 11:10,NA,NA,0.1,17.57,12400.1,1,17.475,4650,1.8,17.284,936.5,1.81
6/9/2019 11:20,NA,NA,0.1,17.76,18600.1,1,17.475,3616.7,1.8,17.379,1151.7,1.81
6/9/2019 11:30,NA,NA,0.1,17.76,8611.2,1,17.57,4650,1.8,17.475,1377.8,1.81
6/9/2019 11:40,NA,NA,0.1,17.855,15844.5,1,17.665,5166.7,1.8,17.475,1313.2,1.81
6/9/2019 11:50,NA,NA,0.1,18.14,12400.1,1,17.76,5166.7,1.8,17.57,1463.9,1.81
6/9/2019 12:00,NA,NA,0.1,18.426,20666.8,1,17.855,4994.5,1.8,17.665,1377.8,1.81
6/9/2019 12:10,NA,NA,0.1,18.521,93689.5,1,18.045,5166.7,1.8,17.76,1463.9,1.81
6/9/2019 12:20,NA,NA,0.1,18.236,15155.7,1,17.95,1463.9,1.8,17.855,1550,1.81
6/9/2019 12:30,NA,NA,0.1,18.901,15844.5,1,18.045,925.7,1.8,17.855,236.8,1.81
6/9/2019 12:40,NA,NA,0.1,19.853,148801,1,18.236,5511.1,1.8,17.95,1550,1.81
6/9/2019 12:50,NA,NA,0.1,20.138,82667.2,1,18.331,5511.1,1.8,18.045,1722.2,1.81
6/9/2019 13:00,NA,NA,0.1,20.329,74400.5,1,18.426,6200,1.8,18.14,1463.9,1.81
6/9/2019 13:10,NA,NA,0.1,20.138,38578,1,18.426,4822.3,1.8,18.236,1808.3,1.81
6/9/2019 13:20,NA,NA,0.1,20.519,170845.6,1,18.521,7577.8,1.8,18.331,1722.2,1.81
6/9/2019 13:30,NA,NA,0.1,20.519,159823.3,1,18.711,6544.5,1.8,18.426,1808.3,1.81
6/9/2019 13:40,NA,NA,0.1,19.662,49600.3,1,18.711,3788.9,1.8,18.521,366,1.81
6/9/2019 13:50,NA,NA,0.1,20.615,126756.4,1,18.806,8266.7,1.8,18.616,1808.3,1.81
6/9/2019 14:00,NA,NA,0.1,20.805,60622.6,1,18.901,6200,1.8,18.616,602.8,1.81
6/9/2019 14:10,NA,NA,0.1,21.091,165334.4,1,18.996,4994.5,1.8,18.711,1722.2,1.81
6/9/2019 14:20,NA,NA,0.1,20.424,132267.5,1,19.092,5511.1,1.8,18.806,1636.1,1.81
