DateTime,TemperatureAboveSurface_degC,LightAboveSurface_PAR_umols/m^2/s,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,PondMaxDepth_m
6/10/2019 0:00,11.394,1.2,0.05,19.621,0,0.024,19.066,0,0.274,19.732,0,0.704,19.621,0,0.704
6/10/2019 0:10,11.273,1.2,0.05,19.526,0,0.024,18.971,0,0.274,19.637,0,0.704,19.526,0,0.704
6/10/2019 0:20,11.2,1.2,0.05,19.526,0,0.025,18.875,0,0.275,19.637,0,0.705,19.526,0,0.705
6/10/2019 0:30,11.248,1.2,0.05,19.526,0,0.023,18.875,0,0.273,19.541,0,0.703,19.43,0,0.703
6/10/2019 0:40,11.589,1.2,0.05,19.43,0,0.025,18.875,0,0.275,19.446,0,0.705,19.43,0,0.705
6/10/2019 0:50,11.662,1.2,0.05,19.335,0,0.025,18.875,0,0.275,19.446,0,0.705,19.43,0,0.705
6/10/2019 1:00,11.856,1.2,0.05,19.335,0,0.025,18.78,0,0.275,19.446,0,0.705,19.335,0,0.705
6/10/2019 1:10,11.759,1.2,0.05,19.335,0,0.023,18.78,0,0.273,19.351,0,0.703,19.335,0,0.703
6/10/2019 1:20,11.516,1.2,0.05,19.24,0,0.025,18.495,0,0.275,19.351,0,0.705,19.24,0,0.705
6/10/2019 1:30,11.346,1.2,0.05,19.24,0,0.024,18.59,0,0.274,19.256,0,0.704,19.24,0,0.704
6/10/2019 1:40,11.346,1.2,0.05,19.145,0,0.023,18.4,0,0.273,19.161,0,0.703,19.24,0,0.703
6/10/2019 1:50,11.102,1.2,0.05,19.05,0,0.023,18.4,0,0.273,19.161,0,0.703,19.145,0,0.703
6/10/2019 2:00,11.078,1.2,0.05,19.05,0,0.023,18.305,0,0.273,19.066,0,0.703,19.145,0,0.703
6/10/2019 2:10,11.151,1.2,0.05,18.955,0,0.023,18.305,0,0.273,19.066,0,0.703,19.05,0,0.703
6/10/2019 2:20,11.078,1.2,0.05,18.955,0,0.022,18.305,0,0.272,18.971,0,0.702,18.955,0,0.702
6/10/2019 2:30,10.761,1.2,0.05,18.86,0,0.023,18.115,0,0.273,18.971,0,0.703,18.955,0,0.703
6/10/2019 2:40,10.663,1.2,0.05,18.86,0,0.023,18.115,0,0.273,18.971,0,0.703,18.86,0,0.703
6/10/2019 2:50,10.663,1.2,0.05,18.86,0,0.022,18.019,0,0.272,18.875,0,0.702,18.86,0,0.702
6/10/2019 3:00,10.516,1.2,0.05,18.764,0,0.023,18.019,0,0.273,18.875,0,0.703,18.764,0,0.703
6/10/2019 3:10,10.663,1.2,0.05,18.764,0,0.023,18.115,0,0.273,18.78,0,0.703,18.764,0,0.703
6/10/2019 3:20,10.271,1.2,0.05,18.669,0,0.024,17.829,0,0.274,18.78,0,0.704,18.669,0,0.704
6/10/2019 3:30,10.247,1.2,0.05,18.669,0,0.023,17.734,0,0.273,18.685,0,0.703,18.669,0,0.703
6/10/2019 3:40,10.075,1.2,0.05,18.574,0,0.023,17.544,0,0.273,18.59,0,0.703,18.574,0,0.703
6/10/2019 3:50,10.173,1.2,0.05,18.479,0,0.022,17.544,0,0.272,18.59,0,0.702,18.574,0,0.702
6/10/2019 4:00,10.051,1.2,0.05,18.479,0,0.021,17.639,0,0.271,18.495,0,0.701,18.479,0,0.701
6/10/2019 4:10,9.952,1.2,0.05,18.384,0,0.023,17.354,0,0.273,18.495,0,0.703,18.479,0,0.703
6/10/2019 4:20,9.854,1.2,0.05,18.289,0,0.021,17.354,0,0.271,18.4,0,0.701,18.384,0,0.701
