DateTime,TemperatureAboveSurface_degC,LightAboveSurface_PAR_umols/m^2/s,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,SensorE_DepthFromTop_m,SensorE_Temp_degC,SensorE_Light_Lux,SensorF_DepthFromTop_m,SensorF_Temp_degC,SensorF_Light_Lux,PondMaxDepth_m
6/10/2019 0:00,12.05,1.2,0.05,22.58,0,0.381,22.676,0,0.631,22.58,0,1.131,21.146,0,1.631,15.909,0,2.431,11.587,0,2.431
6/10/2019 0:10,12.098,1.2,0.05,22.58,0,0.383,22.58,0,0.633,22.58,0,1.133,21.05,0,1.633,15.909,0,2.433,11.587,0,2.433
6/10/2019 0:20,12.074,1.2,0.05,22.58,0,0.383,22.58,0,0.633,22.485,0,1.133,21.241,0,1.633,15.814,0,2.433,11.587,0,2.433
6/10/2019 0:30,12.098,1.2,0.05,22.485,0,0.383,22.58,0,0.633,22.485,0,1.133,21.241,0,1.633,15.814,0,2.433,11.587,0,2.433
6/10/2019 0:40,12.025,1.2,0.05,22.485,0,0.384,22.485,0,0.634,22.485,0,1.134,21.241,0,1.634,15.909,0,2.434,11.587,0,2.434
6/10/2019 0:50,11.929,1.2,0.05,22.485,0,0.384,22.485,0,0.634,22.389,0,1.134,21.146,0,1.634,15.909,0,2.434,11.587,0,2.434
6/10/2019 1:00,11.759,1.2,0.05,22.389,0,0.384,22.389,0,0.634,22.389,0,1.134,21.241,0,1.634,15.814,0,2.434,11.587,0,2.434
6/10/2019 1:10,11.734,1.2,0.05,22.389,0,0.383,22.389,0,0.633,22.293,0,1.133,21.241,0,1.633,15.814,0,2.433,11.587,0,2.433
6/10/2019 1:20,11.734,1.2,0.05,22.389,0,0.387,22.389,0,0.637,22.293,0,1.137,21.241,0,1.637,15.909,0,2.437,11.587,0,2.437
6/10/2019 1:30,11.662,1.2,0.05,22.293,0,0.387,22.293,0,0.637,22.293,0,1.137,21.337,0,1.637,15.814,0,2.437,11.587,0,2.437
6/10/2019 1:40,11.613,1.2,0.05,22.197,0,0.386,22.293,0,0.636,22.197,0,1.136,21.528,0,1.636,15.909,0,2.436,11.587,0,2.436
6/10/2019 1:50,11.516,1.2,0.05,22.197,0,0.385,22.197,0,0.635,22.197,0,1.135,21.623,0,1.635,15.909,0,2.435,11.587,0,2.435
6/10/2019 2:00,11.516,1.2,0.05,22.101,0,0.387,22.197,0,0.637,22.101,0,1.137,22.006,0,1.637,15.814,0,2.437,11.587,0,2.437
