DateTime,TemperatureAboveSurface_degC,LightAboveSurface_units,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,PondMaxDepth_m,IsNight,dayNight,Day,Night
6/10/2019 0:00,NA,NA,0.11,19.95,NA,0.51,20.23,NA,0.93,17.5,NA,1.31,14.75,NA,1.31,TRUE,night,NA,4
6/10/2019 0:30,NA,NA,0.1,19.9,NA,0.5,20.14,NA,0.92,17.5,NA,1.3,14.74,NA,1.3,TRUE,night,NA,4
6/10/2019 1:00,NA,NA,0.1,19.82,NA,0.5,20.04,NA,0.92,17.5,NA,1.3,14.75,NA,1.3,TRUE,night,NA,4
6/10/2019 1:30,NA,NA,0.1,19.65,NA,0.5,19.95,NA,0.92,17.5,NA,1.3,14.76,NA,1.3,TRUE,night,NA,4
6/10/2019 2:00,NA,NA,0.1,19.6,NA,0.5,19.85,NA,0.92,17.5,NA,1.3,14.76,NA,1.3,TRUE,night,NA,4
6/10/2019 2:30,NA,NA,0.1,19.56,NA,0.5,19.76,NA,0.92,17.5,NA,1.3,14.76,NA,1.3,TRUE,night,NA,4
6/10/2019 3:00,NA,NA,0.1,19.43,NA,0.5,19.66,NA,0.92,17.6,NA,1.3,14.76,NA,1.3,TRUE,night,NA,4
6/10/2019 3:30,NA,NA,0.1,19.35,NA,0.5,19.66,NA,0.92,17.6,NA,1.3,14.76,NA,1.3,TRUE,night,NA,4
6/10/2019 4:00,NA,NA,0.1,19.26,NA,0.5,19.47,NA,0.92,17.6,NA,1.3,14.76,NA,1.3,TRUE,night,NA,4
6/10/2019 4:30,NA,NA,0.1,19.17,NA,0.5,19.47,NA,0.92,17.6,NA,1.3,14.75,NA,1.3,TRUE,night,NA,4
6/10/2019 5:00,NA,NA,0.1,19.04,NA,0.5,19.38,NA,0.92,17.5,NA,1.3,14.75,NA,1.3,TRUE,night,NA,4
6/10/2019 5:30,NA,NA,0.1,19.04,NA,0.5,19.28,NA,0.92,17.5,NA,1.3,14.74,NA,1.3,FALSE,day,5,NA
6/10/2019 6:00,NA,NA,0.09,18.87,NA,0.49,19.19,NA,0.91,17.5,NA,1.29,14.74,NA,1.29,FALSE,day,5,NA
6/10/2019 6:30,NA,NA,0.1,18.83,NA,0.5,19.09,NA,0.92,17.5,NA,1.3,14.74,NA,1.3,FALSE,day,5,NA
6/10/2019 7:00,NA,NA,0.1,18.79,NA,0.5,19,NA,0.92,17.5,NA,1.3,14.74,NA,1.3,FALSE,day,5,NA
6/10/2019 7:30,NA,NA,0.1,18.74,NA,0.5,19,NA,0.92,17.5,NA,1.3,14.74,NA,1.3,FALSE,day,5,NA
6/10/2019 8:00,NA,NA,0.1,18.66,NA,0.5,18.9,NA,0.92,17.5,NA,1.3,14.74,NA,1.3,FALSE,day,5,NA
6/10/2019 8:30,NA,NA,0.1,18.7,NA,0.5,18.9,NA,0.92,17.5,NA,1.3,14.74,NA,1.3,FALSE,day,5,NA
6/10/2019 9:00,NA,NA,0.1,18.87,NA,0.5,19.09,NA,0.92,17.4,NA,1.3,14.74,NA,1.3,FALSE,day,5,NA
6/10/2019 9:30,NA,NA,0.1,18.83,NA,0.5,19,NA,0.92,17.3,NA,1.3,14.74,NA,1.3,FALSE,day,5,NA
6/10/2019 10:00,NA,NA,0.1,19,NA,0.5,19,NA,0.92,17.3,NA,1.3,14.74,NA,1.3,FALSE,day,5,NA
6/10/2019 10:30,NA,NA,0.1,19.13,NA,0.5,19.19,NA,0.92,17.3,NA,1.3,14.75,NA,1.3,FALSE,day,5,NA
6/10/2019 11:00,NA,NA,0.1,19.56,NA,0.5,19.76,NA,0.92,17.2,NA,1.3,14.75,NA,1.3,FALSE,day,5,NA
6/10/2019 11:30,NA,NA,0.1,19.69,NA,0.5,19.95,NA,0.92,17.3,NA,1.3,14.77,NA,1.3,FALSE,day,5,NA
6/10/2019 12:00,NA,NA,0.1,20.03,NA,0.5,20.14,NA,0.92,17.3,NA,1.3,14.8,NA,1.3,FALSE,day,5,NA
6/10/2019 12:30,NA,NA,0.1,20.33,NA,0.5,20.14,NA,0.92,17.2,NA,1.3,14.83,NA,1.3,FALSE,day,5,NA
6/10/2019 13:00,NA,NA,0.1,20.68,NA,0.5,20.33,NA,0.92,17.3,NA,1.3,14.87,NA,1.3,FALSE,day,5,NA
6/10/2019 13:30,NA,NA,0.09,20.68,NA,0.49,20.14,NA,0.91,17.3,NA,1.29,14.9,NA,1.29,FALSE,day,5,NA
6/10/2019 14:00,NA,NA,0.1,21.02,NA,0.5,20.33,NA,0.92,17.4,NA,1.3,14.94,NA,1.3,FALSE,day,5,NA
6/10/2019 14:30,NA,NA,0.1,21.15,NA,0.5,19.76,NA,0.92,17.5,NA,1.3,14.96,NA,1.3,FALSE,day,5,NA
6/10/2019 15:00,NA,NA,0.1,21.4,NA,0.5,19.85,NA,0.92,17.3,NA,1.3,15,NA,1.3,FALSE,day,5,NA
6/10/2019 15:30,NA,NA,0.1,21.45,NA,0.5,19.76,NA,0.92,17.4,NA,1.3,15.02,NA,1.3,FALSE,day,5,NA
6/10/2019 16:00,NA,NA,0.1,21.53,NA,0.5,19.76,NA,0.92,17.3,NA,1.3,15.04,NA,1.3,FALSE,day,5,NA
6/10/2019 16:30,NA,NA,0.09,21.83,NA,0.49,19.76,NA,0.91,17.2,NA,1.29,15.08,NA,1.29,FALSE,day,5,NA
6/10/2019 17:00,NA,NA,0.1,21.96,NA,0.5,19.76,NA,0.92,17.2,NA,1.3,15.1,NA,1.3,FALSE,day,5,NA
6/10/2019 17:30,NA,NA,0.09,21.88,NA,0.49,19.76,NA,0.91,17.2,NA,1.29,15.13,NA,1.29,FALSE,day,5,NA
6/10/2019 18:00,NA,NA,0.11,21.23,NA,0.51,19.85,NA,0.93,17.3,NA,1.31,15.17,NA,1.31,FALSE,day,5,NA
6/10/2019 18:30,NA,NA,0.11,21.4,NA,0.51,19.85,NA,0.93,17.2,NA,1.31,15.18,NA,1.31,FALSE,day,5,NA
6/10/2019 19:00,NA,NA,0.09,21.32,NA,0.49,19.76,NA,0.91,17.2,NA,1.29,15.18,NA,1.29,FALSE,day,5,NA
6/10/2019 19:30,NA,NA,0.09,21.23,NA,0.49,19.85,NA,0.91,17.2,NA,1.29,15.18,NA,1.29,FALSE,day,5,NA
6/10/2019 20:00,NA,NA,0.09,21.06,NA,0.49,19.76,NA,0.91,17.2,NA,1.29,15.18,NA,1.29,FALSE,day,5,NA
6/10/2019 20:30,NA,NA,0.09,21.02,NA,0.49,19.76,NA,0.91,17.2,NA,1.29,15.18,NA,1.29,FALSE,day,5,NA
6/10/2019 21:00,NA,NA,0.09,20.85,NA,0.49,19.76,NA,0.91,17.1,NA,1.29,15.17,NA,1.29,TRUE,night,NA,5
6/10/2019 21:30,NA,NA,0.09,20.63,NA,0.49,19.85,NA,0.91,17.1,NA,1.29,15.16,NA,1.29,TRUE,night,NA,5
6/10/2019 22:00,NA,NA,0.09,20.5,NA,0.49,19.85,NA,0.91,17.1,NA,1.29,15.15,NA,1.29,TRUE,night,NA,5
6/10/2019 22:30,NA,NA,0.09,20.33,NA,0.49,19.85,NA,0.91,17.1,NA,1.29,15.15,NA,1.29,TRUE,night,NA,5
6/10/2019 23:00,NA,NA,0.09,20.2,NA,0.49,19.85,NA,0.91,17.1,NA,1.29,15.15,NA,1.29,TRUE,night,NA,5
6/10/2019 23:30,NA,NA,0.09,20.16,NA,0.49,19.85,NA,0.91,17,NA,1.29,15.13,NA,1.29,TRUE,night,NA,5
6/11/2019 0:00,NA,NA,0.09,19.95,NA,0.49,19.95,NA,0.91,17,NA,1.29,15.12,NA,1.29,TRUE,night,NA,5
6/11/2019 0:30,NA,NA,0.09,19.86,NA,0.49,19.95,NA,0.91,17,NA,1.29,15.12,NA,1.29,TRUE,night,NA,5
6/11/2019 1:00,NA,NA,0.09,19.77,NA,0.49,19.95,NA,0.91,17,NA,1.29,15.11,NA,1.29,TRUE,night,NA,5
6/11/2019 1:30,NA,NA,0.09,19.65,NA,0.49,19.85,NA,0.91,17,NA,1.29,15.11,NA,1.29,TRUE,night,NA,5
6/11/2019 2:00,NA,NA,0.09,19.52,NA,0.49,19.76,NA,0.91,17,NA,1.29,15.11,NA,1.29,TRUE,night,NA,5
6/11/2019 2:30,NA,NA,0.09,19.47,NA,0.49,19.76,NA,0.91,17,NA,1.29,15.11,NA,1.29,TRUE,night,NA,5
6/11/2019 3:00,NA,NA,0.08,19.35,NA,0.48,19.66,NA,0.9,16.9,NA,1.28,15.1,NA,1.28,TRUE,night,NA,5
6/11/2019 3:30,NA,NA,0.09,19.3,NA,0.49,19.57,NA,0.91,16.9,NA,1.29,15.1,NA,1.29,TRUE,night,NA,5
6/11/2019 4:00,NA,NA,0.09,19.17,NA,0.49,19.47,NA,0.91,16.9,NA,1.29,15.09,NA,1.29,TRUE,night,NA,5
6/11/2019 4:30,NA,NA,0.09,19.09,NA,0.49,19.38,NA,0.91,16.9,NA,1.29,15.09,NA,1.29,TRUE,night,NA,5
6/11/2019 5:00,NA,NA,0.08,19,NA,0.48,19.28,NA,0.9,16.9,NA,1.28,15.09,NA,1.28,TRUE,night,NA,5
6/11/2019 5:30,NA,NA,0.08,19,NA,0.48,19.19,NA,0.9,16.9,NA,1.28,15.09,NA,1.28,FALSE,day,6,NA
6/11/2019 6:00,NA,NA,0.08,18.92,NA,0.48,19.19,NA,0.9,17,NA,1.28,15.08,NA,1.28,FALSE,day,6,NA
6/11/2019 6:30,NA,NA,0.08,18.83,NA,0.48,19.09,NA,0.9,17.1,NA,1.28,15.06,NA,1.28,FALSE,day,6,NA
6/11/2019 7:00,NA,NA,0.08,18.79,NA,0.48,19.09,NA,0.9,17.1,NA,1.28,15.06,NA,1.28,FALSE,day,6,NA
6/11/2019 7:30,NA,NA,0.08,18.83,NA,0.48,19.09,NA,0.9,17.2,NA,1.28,15.05,NA,1.28,FALSE,day,6,NA
6/11/2019 8:00,NA,NA,0.09,18.74,NA,0.49,19,NA,0.91,17.3,NA,1.29,15.05,NA,1.29,FALSE,day,6,NA
6/11/2019 8:30,NA,NA,0.09,18.79,NA,0.49,19,NA,0.91,17.3,NA,1.29,15.05,NA,1.29,FALSE,day,6,NA
6/11/2019 9:00,NA,NA,0.08,18.74,NA,0.48,19,NA,0.9,17.3,NA,1.28,15.04,NA,1.28,FALSE,day,6,NA
6/11/2019 9:30,NA,NA,0.08,18.87,NA,0.48,19,NA,0.9,17.4,NA,1.28,15.04,NA,1.28,FALSE,day,6,NA
6/11/2019 10:00,NA,NA,0.08,18.92,NA,0.48,19,NA,0.9,17.4,NA,1.28,15.04,NA,1.28,FALSE,day,6,NA
6/11/2019 10:30,NA,NA,0.08,18.87,NA,0.48,19,NA,0.9,17.4,NA,1.28,15.04,NA,1.28,FALSE,day,6,NA
6/11/2019 11:00,NA,NA,0.08,18.83,NA,0.48,19,NA,0.9,17.4,NA,1.28,15.03,NA,1.28,FALSE,day,6,NA
6/11/2019 11:30,NA,NA,0.08,18.92,NA,0.48,19,NA,0.9,17.4,NA,1.28,15.03,NA,1.28,FALSE,day,6,NA
6/11/2019 12:00,NA,NA,0.09,18.87,NA,0.49,19,NA,0.91,17.4,NA,1.29,15.03,NA,1.29,FALSE,day,6,NA
6/11/2019 12:30,NA,NA,0.08,18.83,NA,0.48,19,NA,0.9,17.4,NA,1.28,15.03,NA,1.28,FALSE,day,6,NA
6/11/2019 13:00,NA,NA,0.09,18.79,NA,0.49,19,NA,0.91,17.4,NA,1.29,15.03,NA,1.29,FALSE,day,6,NA
6/11/2019 13:30,NA,NA,0.09,18.74,NA,0.49,19,NA,0.91,17.4,NA,1.29,15.04,NA,1.29,FALSE,day,6,NA
6/11/2019 14:00,NA,NA,0.09,18.74,NA,0.49,19,NA,0.91,17.4,NA,1.29,15.03,NA,1.29,FALSE,day,6,NA
