DateTime,TemperatureAboveSurface_degC,LightAboveSurface_units,SensorA_DepthFromTop_m,SensorA_Temp_degC,SensorA_Light_Lux,SensorB_DepthFromTop_m,SensorB_Temp_degC,SensorB_Light_Lux,SensorC_DepthFromTop_m,SensorC_Temp_degC,SensorC_Light_Lux,SensorD_DepthFromTop_m,SensorD_Temp_degC,SensorD_Light_Lux,SensorE_DepthFromTop_m,SensorE_Temp_degC,SensorE_Light_Lux,SensorF_DepthFromTop_m,SensorF_Temp_degC,SensorF_Light_Lux,SensorG_DepthFromTop_m,SensorG_Temp_degC,SensorG_Light_Lux,PondMaxDepth_m,IsNight,dayNight,Day,Night
6/10/2019 0:00,NA,NA,0.2,20.9,NA,0.45,21.09,NA,0.7,20.42,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.97,NA,2,TRUE,night,NA,4
6/10/2019 0:30,NA,NA,0.2,20.81,NA,0.45,20.9,NA,0.7,20.42,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.98,NA,2,TRUE,night,NA,4
6/10/2019 1:00,NA,NA,0.2,20.71,NA,0.45,20.81,NA,0.7,20.52,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.97,NA,2,TRUE,night,NA,4
6/10/2019 1:30,NA,NA,0.2,20.52,NA,0.45,20.71,NA,0.7,20.62,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.97,NA,2,TRUE,night,NA,4
6/10/2019 2:00,NA,NA,0.2,20.42,NA,0.45,20.62,NA,0.7,20.52,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.98,NA,2,TRUE,night,NA,4
6/10/2019 2:30,NA,NA,0.2,20.33,NA,0.45,20.52,NA,0.7,20.33,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.97,NA,2,TRUE,night,NA,4
6/10/2019 3:00,NA,NA,0.2,20.23,NA,0.45,20.33,NA,0.7,20.23,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.98,NA,2,TRUE,night,NA,4
6/10/2019 3:30,NA,NA,0.2,20.14,NA,0.45,20.23,NA,0.7,20.14,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.98,NA,2,TRUE,night,NA,4
6/10/2019 4:00,NA,NA,0.2,20.04,NA,0.45,20.14,NA,0.7,20.04,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.98,NA,2,TRUE,night,NA,4
6/10/2019 4:30,NA,NA,0.2,19.95,NA,0.45,20.04,NA,0.7,19.95,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.98,NA,2,TRUE,night,NA,4
6/10/2019 5:00,NA,NA,0.2,19.85,NA,0.45,19.95,NA,0.7,19.85,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,11,NA,2,TRUE,night,NA,4
6/10/2019 5:30,NA,NA,0.19,19.76,NA,0.44,19.85,NA,0.69,19.76,NA,0.94,17.38,NA,1.19,15.19,NA,1.56,12.5,NA,1.84,11,NA,1.99,FALSE,day,5,NA
6/10/2019 6:00,NA,NA,0.2,19.66,NA,0.45,19.76,NA,0.7,19.66,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,10.98,NA,2,FALSE,day,5,NA
6/10/2019 6:30,NA,NA,0.2,19.57,NA,0.45,19.66,NA,0.7,19.57,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,11,NA,2,FALSE,day,5,NA
6/10/2019 7:00,NA,NA,0.19,19.47,NA,0.44,19.57,NA,0.69,19.47,NA,0.94,17.38,NA,1.19,15.19,NA,1.56,12.5,NA,1.84,11,NA,1.99,FALSE,day,5,NA
6/10/2019 7:30,NA,NA,0.19,19.47,NA,0.44,19.57,NA,0.69,19.38,NA,0.94,17.38,NA,1.19,15.19,NA,1.56,12.5,NA,1.84,10.98,NA,1.99,FALSE,day,5,NA
6/10/2019 8:00,NA,NA,0.2,19.38,NA,0.45,19.47,NA,0.7,19.38,NA,0.95,17.38,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,11,NA,2,FALSE,day,5,NA
6/10/2019 8:30,NA,NA,0.19,19.38,NA,0.44,19.47,NA,0.69,19.38,NA,0.94,17.48,NA,1.19,15.19,NA,1.56,12.5,NA,1.84,11,NA,1.99,FALSE,day,5,NA
6/10/2019 9:00,NA,NA,0.19,19.38,NA,0.44,19.47,NA,0.69,19.28,NA,0.94,17.38,NA,1.19,15.19,NA,1.56,12.5,NA,1.84,11,NA,1.99,FALSE,day,5,NA
6/10/2019 9:30,NA,NA,0.19,19.57,NA,0.44,19.47,NA,0.69,19.28,NA,0.94,17.38,NA,1.19,15.19,NA,1.56,12.5,NA,1.84,11,NA,1.99,FALSE,day,5,NA
6/10/2019 10:00,NA,NA,0.2,20.33,NA,0.45,19.85,NA,0.7,19.38,NA,0.95,17.48,NA,1.2,15.28,NA,1.57,12.5,NA,1.85,11,NA,2,FALSE,day,5,NA
6/10/2019 10:30,NA,NA,0.2,20.52,NA,0.45,19.95,NA,0.7,19.47,NA,0.95,17.76,NA,1.2,15.28,NA,1.57,12.5,NA,1.85,11.01,NA,2,FALSE,day,5,NA
6/10/2019 11:00,NA,NA,0.2,20.81,NA,0.45,20.04,NA,0.7,19.57,NA,0.95,17.67,NA,1.2,15.38,NA,1.57,12.6,NA,1.85,11.02,NA,2,FALSE,day,5,NA
6/10/2019 11:30,NA,NA,0.2,21,NA,0.45,20.14,NA,0.7,19.57,NA,0.95,17.67,NA,1.2,15.28,NA,1.57,12.5,NA,1.85,11.04,NA,2,FALSE,day,5,NA
6/10/2019 12:00,NA,NA,0.2,21.38,NA,0.45,20.23,NA,0.7,19.66,NA,0.95,17.67,NA,1.2,15.47,NA,1.57,12.5,NA,1.85,11.05,NA,2,FALSE,day,5,NA
6/10/2019 12:30,NA,NA,0.2,21.19,NA,0.45,20.14,NA,0.7,19.57,NA,0.95,17.57,NA,1.2,15.38,NA,1.57,12.6,NA,1.85,11.05,NA,2,FALSE,day,5,NA
6/10/2019 13:00,NA,NA,0.2,21.57,NA,0.45,20.33,NA,0.7,19.76,NA,0.95,17.86,NA,1.2,15.28,NA,1.57,12.5,NA,1.85,11.08,NA,2,FALSE,day,5,NA
6/10/2019 13:30,NA,NA,0.2,21.09,NA,0.45,20.14,NA,0.7,19.66,NA,0.95,17.67,NA,1.2,15.38,NA,1.57,12.4,NA,1.85,11.06,NA,2,FALSE,day,5,NA
6/10/2019 14:00,NA,NA,0.2,21.28,NA,0.45,20.14,NA,0.7,19.57,NA,0.95,17.86,NA,1.2,15.57,NA,1.57,12.5,NA,1.85,11.09,NA,2,FALSE,day,5,NA
6/10/2019 14:30,NA,NA,0.2,21.09,NA,0.45,20.42,NA,0.7,19.76,NA,0.95,17.67,NA,1.2,15.47,NA,1.57,12.5,NA,1.85,11.08,NA,2,FALSE,day,5,NA
6/10/2019 15:00,NA,NA,0.2,21.76,NA,0.45,20.42,NA,0.7,19.66,NA,0.95,17.67,NA,1.2,15.38,NA,1.57,12.5,NA,1.85,11.18,NA,2,FALSE,day,5,NA
6/10/2019 15:30,NA,NA,0.2,21.28,NA,0.45,20.23,NA,0.7,19.66,NA,0.95,17.86,NA,1.2,15.38,NA,1.57,12.6,NA,1.85,11.12,NA,2,FALSE,day,5,NA
6/10/2019 16:00,NA,NA,0.2,21.95,NA,0.45,20.33,NA,0.7,19.66,NA,0.95,17.57,NA,1.2,15.19,NA,1.57,12.8,NA,1.85,11.13,NA,2,FALSE,day,5,NA
6/10/2019 16:30,NA,NA,0.2,22.14,NA,0.45,20.33,NA,0.7,19.66,NA,0.95,17.76,NA,1.2,15.47,NA,1.57,12.5,NA,1.85,11.16,NA,2,FALSE,day,5,NA
6/10/2019 17:00,NA,NA,0.2,22.33,NA,0.45,20.42,NA,0.7,19.66,NA,0.95,17.76,NA,1.2,15.19,NA,1.57,12.5,NA,1.85,11.18,NA,2,FALSE,day,5,NA
6/10/2019 17:30,NA,NA,0.2,22.33,NA,0.45,20.42,NA,0.7,19.66,NA,0.95,17.76,NA,1.2,15.28,NA,1.57,12.6,NA,1.85,11.2,NA,2,FALSE,day,5,NA
6/10/2019 18:00,NA,NA,0.21,22.62,NA,0.46,20.42,NA,0.71,19.57,NA,0.96,17.86,NA,1.21,15.38,NA,1.58,12.7,NA,1.86,11.17,NA,2.01,FALSE,day,5,NA
6/10/2019 18:30,NA,NA,0.21,22.24,NA,0.46,20.42,NA,0.71,19.66,NA,0.96,17.57,NA,1.21,15.38,NA,1.58,12.7,NA,1.86,11.14,NA,2.01,FALSE,day,5,NA
6/10/2019 19:00,NA,NA,0.2,22.62,NA,0.45,20.52,NA,0.7,19.66,NA,0.95,17.67,NA,1.2,15.19,NA,1.57,12.7,NA,1.85,11.14,NA,2,FALSE,day,5,NA
6/10/2019 19:30,NA,NA,0.2,22.62,NA,0.45,20.52,NA,0.7,19.66,NA,0.95,17.67,NA,1.2,15.47,NA,1.57,12.6,NA,1.85,11.12,NA,2,FALSE,day,5,NA
6/10/2019 20:00,NA,NA,0.19,22.91,NA,0.44,20.52,NA,0.69,19.57,NA,0.94,17.67,NA,1.19,15.38,NA,1.56,12.6,NA,1.84,11.1,NA,1.99,FALSE,day,5,NA
6/10/2019 20:30,NA,NA,0.19,22.91,NA,0.44,20.52,NA,0.69,19.66,NA,0.94,17.67,NA,1.19,15.38,NA,1.56,12.6,NA,1.84,11.1,NA,1.99,FALSE,day,5,NA
6/10/2019 21:00,NA,NA,0.19,22.72,NA,0.44,20.52,NA,0.69,19.57,NA,0.94,17.67,NA,1.19,15.38,NA,1.56,12.6,NA,1.84,11.09,NA,1.99,TRUE,night,NA,5
6/10/2019 21:30,NA,NA,0.19,22.43,NA,0.44,20.52,NA,0.69,19.57,NA,0.94,17.67,NA,1.19,15.38,NA,1.56,12.6,NA,1.84,11.1,NA,1.99,TRUE,night,NA,5
6/10/2019 22:00,NA,NA,0.19,22.14,NA,0.44,20.52,NA,0.69,19.57,NA,0.94,17.67,NA,1.19,15.38,NA,1.56,12.6,NA,1.84,11.1,NA,1.99,TRUE,night,NA,5
6/10/2019 22:30,NA,NA,0.19,21.86,NA,0.44,20.52,NA,0.69,19.57,NA,0.94,17.67,NA,1.19,15.38,NA,1.56,12.6,NA,1.84,11.08,NA,1.99,TRUE,night,NA,5
6/10/2019 23:00,NA,NA,0.19,21.66,NA,0.44,20.62,NA,0.69,19.57,NA,0.94,17.67,NA,1.19,15.47,NA,1.56,12.6,NA,1.84,11.09,NA,1.99,TRUE,night,NA,5
6/10/2019 23:30,NA,NA,0.19,21.47,NA,0.44,20.62,NA,0.69,19.57,NA,0.94,17.67,NA,1.19,15.47,NA,1.56,12.6,NA,1.84,11.1,NA,1.99,TRUE,night,NA,5
6/11/2019 0:00,NA,NA,0.19,21.28,NA,0.44,20.62,NA,0.69,19.57,NA,0.94,17.67,NA,1.19,15.38,NA,1.56,12.6,NA,1.84,11.1,NA,1.99,TRUE,night,NA,5
6/11/2019 0:30,NA,NA,0.19,21.09,NA,0.44,20.62,NA,0.69,19.57,NA,0.94,17.57,NA,1.19,15.47,NA,1.56,12.6,NA,1.84,11.09,NA,1.99,TRUE,night,NA,5
