lake,Datetime,St,mean_rho,Zg,Zv,mean_depth,lake_area,surface_temp,bottom_temp,therm_dep,max_depth
AL,1981-04-23,0.0895897290391008,999.905902941289,5.36666892181472,5.36666666666667,2.9,1642398.13646513,7.5,7.4,7.25,8
AL,1981-05-22,18.8713311638366,999.564606918461,5.36714185704156,5.36666666666667,2.9,1642398.13646513,16.3,9.4,3.82453437143638,8
AL,1981-06-03,33.6561828657634,999.327597670264,5.36751434863867,5.36666666666667,2.9,1642398.13646513,18.3,10.2,4.639678005669,8
AL,1981-06-17,36.4861933863438,999.160844476263,5.36758578011078,5.36666666666667,2.9,1642398.13646513,18.9,10.3,5.21016648778978,8
AL,1981-07-02,45.4547483988239,998.841196683199,5.36781207089316,5.36666666666667,2.9,1642398.13646513,22.3,11.3,4.84356120758403,8
AL,1981-07-16,51.1410403112237,998.753729079043,5.36795547137422,5.36666666666667,2.9,1642398.13646513,22.5,11.2,NA,8
AL,1981-07-28,42.7654001820511,998.807361113604,5.36774433910379,5.36666666666667,2.9,1642398.13646513,21,11.8,5.50640617573789,8
AL,1981-08-12,51.9540435864136,998.695311323315,5.36797603644533,5.36666666666667,2.9,1642398.13646513,22.9,12.2,5.06945990462411,8
AL,1981-08-27,NA,NA,NA,5.36666666666667,2.9,1642398.13646513,22,NA,NA,8
AL,1981-09-12,28.8166915913821,998.858526095862,5.36739279955407,5.36666666666667,2.9,1642398.13646513,19.6,12.4,5.68648234056976,8
AL,1981-09-26,NA,NA,NA,5.36666666666667,2.9,1642398.13646513,15.1,NA,NA,8
AL,1981-10-22,NA,999.915263059334,5.36666666666667,5.36666666666667,2.9,1642398.13646513,7.3,7.3,NA,8
AL,1982-01-26,1.31721287968084,999.985314560068,5.36669982084856,5.36666666666667,2.9,1642398.13646513,0,3.6,1.97137894698312,8
AL,1982-02-23,1.19941791024848,999.989554505262,5.36669685582711,5.36666666666667,2.9,1642398.13646513,0,4.1,1.80085151934338,8
AL,1982-04-05,0.69625517613975,999.994326900548,5.36668419121647,5.36666666666667,2.9,1642398.13646513,0,3.9,1.19739230130502,8
AL,1982-05-11,12.7995123340825,999.744129103493,5.36698890746895,5.36666666666667,2.9,1642398.13646513,12.3,6.6,5.19853829439366,8
AL,1982-05-25,NA,NA,NA,5.36666666666667,2.9,1642398.13646513,20.8,NA,NA,8
AL,1982-06-09,34.3188584652125,999.424723576425,5.36753095512665,5.36666666666667,2.9,1642398.13646513,18.4,8.2,NA,8
AL,1982-06-25,31.244542593187,999.208782208904,5.36745370139834,5.36666666666667,2.9,1642398.13646513,17.5,9.2,NA,8
AL,1982-07-05,46.4085012555643,998.950650877873,5.36783597616771,5.36666666666667,2.9,1642398.13646513,22.9,11.1,NA,8
AL,1982-07-21,63.1752035263472,998.744233452224,5.36825875930539,5.36666666666667,2.9,1642398.13646513,24.4,11,NA,8
AL,1982-08-05,56.3253103494065,998.765402842922,5.36808610350678,5.36666666666667,2.9,1642398.13646513,24.6,11.8,NA,8
AL,1982-08-16,47.732568911605,998.852031256624,5.36786945614539,5.36666666666667,2.9,1642398.13646513,22.4,12,4.71884574873811,8
AL,1982-09-08,10.2589516217364,999.004088278904,5.36692513758491,5.36666666666667,2.9,1642398.13646513,17.1,14.6,5.23158814706888,8
AL,1982-09-21,0.636068531657978,999.225122444857,5.36668268865957,5.36666666666667,2.9,1642398.13646513,14.6,14.3,2.48892991484609,8
AL,1982-10-05,NA,NA,NA,5.36666666666667,2.9,1642398.13646513,14.7,NA,NA,8
AL,1982-10-22,0.134612475600113,999.911929727299,5.36667005510457,5.36666666666667,2.9,1642398.13646513,7.4,7.3,6.5,8
AL,1982-11-08,0.00053142087422634,999.99934107993,5.36666668004232,5.36666666666667,2.9,1642398.13646513,3.6,3.7,0.5,8
AL,1982-11-30,0.735531209128614,999.958847307613,5.36668518044021,5.36666666666667,2.9,1642398.13646513,1.3,2.3,5.07193743352089,8
AL,1983-01-17,0.720752991273336,999.993381898255,5.36668480783683,5.36666666666667,2.9,1642398.13646513,0,4,NA,8
AL,1983-02-18,0.618046123948017,999.994500651447,5.3666822227136,5.36666666666667,2.9,1642398.13646513,0.6,4.1,1.42563576408009,8
AL,1983-03-23,0.188272282752415,999.997878935123,5.36667140541101,5.36666666666667,2.9,1642398.13646513,0.5,4.4,0.694581189604681,8
AL,1983-05-10,3.54445810194956,999.806169789733,5.36675589648402,5.36666666666667,2.9,1642398.13646513,11,8.5,2.94301630310092,8
AL,1983-05-25,12.1952182674811,999.51457966572,5.36697376426044,5.36666666666667,2.9,1642398.13646513,13.4,8.9,6.5,8
AL,1983-06-08,8.26434661213413,999.380067588292,5.36687480583246,5.36666666666667,2.9,1642398.13646513,14.3,11.9,5.60037670535131,8
AL,1983-06-22,62.5510918620448,999.117515117198,5.36824244197811,5.36666666666667,2.9,1642398.13646513,23,7.5,4.51673672336099,8
AL,1983-07-05,38.2673581670616,998.885741984445,5.36763091442197,5.36666666666667,2.9,1642398.13646513,21.1,12.9,4.77195715573813,8
AL,1983-07-20,75.2899357209104,998.475023272367,5.36856457699951,5.36666666666667,2.9,1642398.13646513,28.4,13,4.0185641444972,8
AL,1983-08-04,59.2699055117535,998.40947168745,5.36816084182563,5.36666666666667,2.9,1642398.13646513,24.7,14.1,4.98535438824941,8
AL,1983-08-15,54.6627755867009,998.478865130487,5.36804460179748,5.36666666666667,2.9,1642398.13646513,26.3,13.9,4.05735354787737,8
AL,1983-09-09,40.4572826514385,998.488997014051,5.36768650045269,5.36666666666667,2.9,1642398.13646513,22.6,14.9,5.1821031123682,8
AL,1983-09-29,10.6922709569782,999.336781881623,5.36693596524008,5.36666666666667,2.9,1642398.13646513,17,12.8,2.87504568913682,8
AL,1983-10-18,0.104431006654702,999.815844065692,5.36666929563539,5.36666666666667,2.9,1642398.13646513,9,8.9,2.5,8
AL,1983-11-16,-0.00117088034143232,999.995030491596,5.36666663719596,5.36666666666667,2.9,1642398.13646513,3.3,3.2,NA,8
AL,1984-01-06,1.67726441898451,999.97400807358,5.36670888380502,5.36666666666667,2.9,1642398.13646513,0.1,3.4,2.70456315916387,8
AL,1984-02-29,0.70177493188229,999.992262438245,5.36668433018366,5.36666666666667,2.9,1642398.13646513,0.4,4.2,1.34552448470372,8
AL,1984-04-03,0.142333933645723,999.998259839118,5.36667024915824,5.36666666666667,2.9,1642398.13646513,0.9,4.3,0.668676980174002,8
AL,1984-05-09,NA,999.888313021511,5.36666666666667,5.36666666666667,2.9,1642398.13646513,7.8,7.8,NA,8
AL,1984-05-23,22.9325738944533,999.478239799778,5.36724417123986,5.36666666666667,2.9,1642398.13646513,16.2,9.6,4.60883415602691,8
AL,1984-06-05,37.8975291392226,999.376902356112,5.3676211262814,5.36666666666667,2.9,1642398.13646513,18.1,4.7,5.23113055645658,8
AL,1984-06-21,44.2609750780531,999.005838330387,5.36778180545002,5.36666666666667,2.9,1642398.13646513,21,10.7,4.89506325433477,8
AL,1984-07-03,46.7203347272766,998.692404017641,5.36784413752751,5.36666666666667,2.9,1642398.13646513,22.4,12.8,5.11281394815786,8
AL,1984-07-18,31.211549141471,998.73002462544,5.36745324718902,5.36666666666667,2.9,1642398.13646513,19.5,12.7,6.32771815608974,8
AL,1984-08-02,46.5446818255145,998.494812217268,5.36783994276242,5.36666666666667,2.9,1642398.13646513,22.6,14.1,5.44324526597416,8
AL,1984-08-14,45.7799433845866,998.405602108108,5.36782076871404,5.36666666666667,2.9,1642398.13646513,23.3,14.9,5.24790662260764,8
AL,1984-09-06,13.5559429411452,998.869778358034,5.36700825012263,5.36666666666667,2.9,1642398.13646513,18,15,5.64394699280712,8
AL,1984-09-24,2.18519149933463,999.038919187988,5.36672171992966,5.36666666666667,2.9,1642398.13646513,16.3,15.4,2.90676606228798,8
AL,1984-10-15,4.27866249417096,999.484742013241,5.36677441432264,5.36666666666667,2.9,1642398.13646513,13.4,11.9,4.03853266006381,8
AL,1984-11-08,-0.0443061267141627,999.996778084211,5.36666555149647,5.36666666666667,2.9,1642398.13646513,3.5,3.3,NA,8
AL,1985-01-07,0.405771067098864,999.996091208131,5.36667687979394,5.36666666666667,2.9,1642398.13646513,1.2,4.3,1.42013764598987,8
AL,1985-02-25,0.406847137359589,999.996794690244,5.36667690687108,5.36666666666667,2.9,1642398.13646513,0.5,4.3,NA,8
AL,1985-03-27,0.028450098823038,999.998449715816,5.36666738274482,5.36666666666667,2.9,1642398.13646513,2,4.5,NA,8
AL,1985-04-30,7.98355604403451,999.804867769134,5.36686764863763,5.36666666666667,2.9,1642398.13646513,12.2,7.8,3.44645101607124,8
AL,1985-05-16,25.4633847322933,999.537353443461,5.36730786601559,5.36666666666667,2.9,1642398.13646513,15.5,7.9,5.05753649747865,8
AL,1985-05-28,27.6606907175266,999.443288309689,5.36736326243881,5.36666666666667,2.9,1642398.13646513,18.3,8.5,4.00393501570639,8
AL,1985-06-11,26.3210366478292,999.093198126454,5.36732975739738,5.36666666666667,2.9,1642398.13646513,18.2,11.5,5.44346835343971,8
AL,1985-06-24,11.1904223379315,998.869280663489,5.36694864373437,5.36666666666667,2.9,1642398.13646513,19,15.2,3.90884567195941,8
AL,1985-07-11,31.2793978709326,998.684391058048,5.36745499310447,5.36666666666667,2.9,1642398.13646513,21.7,15.3,4.42217340412421,8
AL,1985-07-23,37.0260604663463,998.641251630147,5.36759986504112,5.36666666666667,2.9,1642398.13646513,21.5,14.7,5.16643513039622,8
AL,1985-08-07,45.1120565279602,998.532282424963,5.3678037871562,5.36666666666667,2.9,1642398.13646513,22.4,14.3,5.33717555728971,8
AL,1985-08-19,NA,998.606314411088,5.36666666666667,5.36666666666667,2.9,1642398.13646513,18.1,18.1,NA,8
AL,1985-09-12,6.90965655837199,998.869546600481,5.36684077664372,5.36666666666667,2.9,1642398.13646513,17.8,16,4.21597637519124,8
AL,1985-09-30,NA,999.52608812554,5.36666666666667,5.36666666666667,2.9,1642398.13646513,12,12,NA,8
AL,1985-10-22,0.96306180526092,999.881157505081,5.36669090940893,5.36666666666667,2.9,1642398.13646513,8.4,7.7,3.99201131615512,8
AL,1985-11-11,NA,999.99810286902,5.36666666666666,5.36666666666667,2.9,1642398.13646513,3.5,3.5,NA,8
AL,1986-01-16,1.41388893481226,999.983421372203,5.36670225424738,5.36666666666667,2.9,1642398.13646513,0.5,3.7,NA,8
AL,1986-03-03,1.17106971115727,999.988809119998,5.36669614232936,5.36666666666667,2.9,1642398.13646513,0.4,4.2,NA,8
AL,1986-03-31,0.644328864467539,999.993524050348,5.36668288425862,5.36666666666667,2.9,1642398.13646513,1.6,4.3,2.53937622534808,8
AL,1986-04-24,0.770655716817488,999.892921446399,5.36668606582465,5.36666666666667,2.9,1642398.13646513,8.4,7.5,3.02910049510556,8
AL,1986-05-08,3.05100924864339,999.430150771905,5.36674350307334,5.36666666666667,2.9,1642398.13646513,13.4,12.4,4.75489416150908,8
AL,1986-05-20,11.9059601661394,999.330403515661,5.36696653547518,5.36666666666667,2.9,1642398.13646513,15.1,11.9,5.42886124335378,8
AL,1986-06-02,23.8532812918199,999.173873462901,5.36726754013701,5.36666666666667,2.9,1642398.13646513,18.7,12.4,4.25286423360406,8
